geometry_id,layer_type,wkp,polygon_fill,polygon_extrude_elevation,valid_from,valid_to,tooltip_html
wall-0-0,polygon,@EBB}ichmIbbkbgA?mJ{K?uCrA?lJzK?tCsA?,#19c819cc,40.00,2026-06-08T00:00:00.000Z,2026-06-11T12:00:00.000Z,<b>wall-0-0</b><br>P$<br>2026-06-08 → 2026-06-11
wall-0-1,polygon,@EBB}ichmIbbkbgA__lhkAmJ{K?uCrA?lJzK?tCsA?,#c800c8cc,40.00,2026-06-11T12:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-0-1</b><br>ADPP<br>2026-06-11 → 2026-06-15
wall-1-0,polygon,@EBBgxchmI`rjbgA?kJ{K?uCpA?lJzK?rCqA?,#c800c8cc,26.67,2026-06-08T00:00:00.000Z,2026-06-10T08:00:00.000Z,<b>wall-1-0</b><br>ADPP<br>2026-06-08 → 2026-06-10
wall-1-1,polygon,@EBBgxchmI`rjbgAuirzq@kJ{K?uCpA?lJzK?rCqA?,#19c819cc,26.67,2026-06-10T08:00:00.000Z,2026-06-12T16:00:00.000Z,<b>wall-1-1</b><br>P$<br>2026-06-10 → 2026-06-12
wall-1-2,polygon,@EBBgxchmI`rjbgAitevdBkJ{K?uCpA?lJzK?rCqA?,#c800c8cc,26.67,2026-06-12T16:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-1-2</b><br>ADPP<br>2026-06-12 → 2026-06-15
wall-2-0,polygon,@EBBofdhmI|ajbgA?mJ{K?sCpA?lJ|K?rCsA?,#19c819cc,20.00,2026-06-08T00:00:00.000Z,2026-06-09T18:00:00.000Z,<b>wall-2-0</b><br>P$<br>2026-06-08 → 2026-06-09
wall-2-1,polygon,@EBBofdhmI|ajbgA_ouce@mJ{K?sCpA?lJ|K?rCsA?,#c800c8cc,20.00,2026-06-09T18:00:00.000Z,2026-06-11T12:00:00.000Z,<b>wall-2-1</b><br>ADPP<br>2026-06-09 → 2026-06-11
wall-2-2,polygon,@EBBofdhmI|ajbgA__lhkAmJ{K?sCpA?lJ|K?rCsA?,#19c819cc,20.00,2026-06-11T12:00:00.000Z,2026-06-13T06:00:00.000Z,<b>wall-2-2</b><br>P$<br>2026-06-11 → 2026-06-13
wall-2-3,polygon,@EBBofdhmI|ajbgA_obmqBmJ{K?sCpA?lJ|K?rCsA?,#c800c8cc,20.00,2026-06-13T06:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-2-3</b><br>ADPP<br>2026-06-13 → 2026-06-15
wall-3-0,polygon,@EBBwtdhmIzqibgA?mJ{K?sCpA?jJzK?tCqA?,#c800c8cc,40.00,2026-06-08T00:00:00.000Z,2026-06-11T12:00:00.000Z,<b>wall-3-0</b><br>ADPP<br>2026-06-08 → 2026-06-11
wall-3-1,polygon,@EBBwtdhmIzqibgA__lhkAmJ{K?sCpA?jJzK?tCqA?,#19c819cc,40.00,2026-06-11T12:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-3-1</b><br>P$<br>2026-06-11 → 2026-06-15
wall-4-0,polygon,@EBB_cehmIvaibgA?mJ{K?uCpA?lJzK?tCqA?,#19c819cc,26.67,2026-06-08T00:00:00.000Z,2026-06-10T08:00:00.000Z,<b>wall-4-0</b><br>P$<br>2026-06-08 → 2026-06-10
wall-4-1,polygon,@EBB_cehmIvaibgAuirzq@mJ{K?uCpA?lJzK?tCqA?,#c800c8cc,26.67,2026-06-10T08:00:00.000Z,2026-06-12T16:00:00.000Z,<b>wall-4-1</b><br>ADPP<br>2026-06-10 → 2026-06-12
wall-4-2,polygon,@EBB_cehmIvaibgAitevdBmJ{K?uCpA?lJzK?tCqA?,#19c819cc,26.67,2026-06-12T16:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-4-2</b><br>P$<br>2026-06-12 → 2026-06-15
wall-5-0,polygon,@EBBiqehmItqhbgA?kJ{K?uCpA?lJzK?rCqA?,#c800c8cc,20.00,2026-06-08T00:00:00.000Z,2026-06-09T18:00:00.000Z,<b>wall-5-0</b><br>ADPP<br>2026-06-08 → 2026-06-09
wall-5-1,polygon,@EBBiqehmItqhbgA_ouce@kJ{K?uCpA?lJzK?rCqA?,#19c819cc,20.00,2026-06-09T18:00:00.000Z,2026-06-11T12:00:00.000Z,<b>wall-5-1</b><br>P$<br>2026-06-09 → 2026-06-11
wall-5-2,polygon,@EBBiqehmItqhbgA__lhkAkJ{K?uCpA?lJzK?rCqA?,#c800c8cc,20.00,2026-06-11T12:00:00.000Z,2026-06-13T06:00:00.000Z,<b>wall-5-2</b><br>ADPP<br>2026-06-11 → 2026-06-13
wall-5-3,polygon,@EBBiqehmItqhbgA_obmqBkJ{K?uCpA?lJzK?rCqA?,#19c819cc,20.00,2026-06-13T06:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-5-3</b><br>P$<br>2026-06-13 → 2026-06-15
wall-6-0,polygon,@EBBq_fhmIpahbgA?mJ{K?sCpA?lJzK?rCqA?,#19c819cc,40.00,2026-06-08T00:00:00.000Z,2026-06-11T12:00:00.000Z,<b>wall-6-0</b><br>P$<br>2026-06-08 → 2026-06-11
wall-6-1,polygon,@EBBq_fhmIpahbgA__lhkAmJ{K?sCpA?lJzK?rCqA?,#c800c8cc,40.00,2026-06-11T12:00:00.000Z,2026-06-15T00:00:00.000Z,<b>wall-6-1</b><br>ADPP<br>2026-06-11 → 2026-06-15
wall-7-0,polygon,@EBBymfhmInqgbgA?mJ{K?sCpA?jJzK?tCqA?,#c800c8cc,26.67,2026-06-08T00:00:00.000Z,2026-06-10T08:00:00.000Z,<b>wall-7-0</b><br>ADPP<br>2026-06-08 → 2026-06-10
wall-7-1,polygon,@EBBymfhmInqgbgAuirzq@mJ{K?sCpA?jJzK?tCqA?,#19c819cc,26.67,2026-06-10T08:00:00.000Z,2026-06-12T16:00:00.000Z,<b>wall-7-1</b><br>P$<br>2026-06-10 → 2026-06-12
