geometry_id,layer_type,wkp,point1_latitude,point1_longitude,timestamp,scatter_fill,polygon_fill,polygon_extrude_elevation,tooltip_html
pt-0,scatter,,-37.790000,175.274000,1781510400,#2855f0cc,,,Point pt-0
pt-1,scatter,,-37.788952,175.273959,1781511132,#2b55edcc,,,Point pt-1
pt-2,scatter,,-37.787930,175.273483,1781511864,#2f55e9cc,,,Point pt-2
pt-3,scatter,,-37.787049,175.272591,1781512597,#3255e6cc,,,Point pt-3
pt-4,scatter,,-37.786417,175.271350,1781513329,#3655e2cc,,,Point pt-4
pt-5,scatter,,-37.786123,175.269871,1781514061,#3955dfcc,,,Point pt-5
pt-6,scatter,,-37.786224,175.268298,1781514793,#3c55dccc,,,Point pt-6
pt-7,scatter,,-37.786736,175.266797,1781515525,#4055d8cc,,,Point pt-7
pt-8,scatter,,-37.787631,175.265537,1781516258,#4355d5cc,,,Point pt-8
pt-9,scatter,,-37.788837,175.264669,1781516990,#4755d1cc,,,Point pt-9
pt-10,scatter,,-37.790242,175.264313,1781517722,#4a55cecc,,,Point pt-10
pt-11,scatter,,-37.791708,175.264538,1781518454,#4d55cbcc,,,Point pt-11
pt-12,scatter,,-37.793081,175.265355,1781519186,#5155c7cc,,,Point pt-12
pt-13,scatter,,-37.794207,175.266710,1781519919,#5455c4cc,,,Point pt-13
pt-14,scatter,,-37.794953,175.268488,1781520651,#5755c1cc,,,Point pt-14
pt-15,scatter,,-37.795217,175.270522,1781521383,#5b55bdcc,,,Point pt-15
pt-16,scatter,,-37.794947,175.272610,1781522115,#5e55bacc,,,Point pt-16
pt-17,scatter,,-37.794143,175.274531,1781522847,#6255b6cc,,,Point pt-17
pt-18,scatter,,-37.792864,175.276075,1781523580,#6555b3cc,,,Point pt-18
pt-19,scatter,,-37.791221,175.277057,1781524312,#6855b0cc,,,Point pt-19
pt-20,scatter,,-37.789372,175.277348,1781525044,#6c55accc,,,Point pt-20
pt-21,scatter,,-37.787501,175.276884,1781525776,#6f55a9cc,,,Point pt-21
pt-22,scatter,,-37.785806,175.275679,1781526508,#7355a5cc,,,Point pt-22
pt-23,scatter,,-37.784473,175.273827,1781527241,#7655a2cc,,,Point pt-23
pt-24,scatter,,-37.783658,175.271495,1781527973,#79559fcc,,,Point pt-24
pt-25,scatter,,-37.783468,175.268907,1781528705,#7d559bcc,,,Point pt-25
pt-26,scatter,,-37.783952,175.266324,1781529437,#805598cc,,,Point pt-26
pt-27,scatter,,-37.785084,175.264017,1781530169,#845594cc,,,Point pt-27
pt-28,scatter,,-37.786774,175.262239,1781530902,#875591cc,,,Point pt-28
pt-29,scatter,,-37.788866,175.261198,1781531634,#8a558ecc,,,Point pt-29
pt-30,scatter,,-37.791156,175.261031,1781532366,#8e558acc,,,Point pt-30
pt-31,scatter,,-37.793414,175.261788,1781533098,#915587cc,,,Point pt-31
pt-32,scatter,,-37.795401,175.263426,1781533831,#945584cc,,,Point pt-32
pt-33,scatter,,-37.796902,175.265805,1781534563,#985580cc,,,Point pt-33
pt-34,scatter,,-37.797741,175.268704,1781535295,#9b557dcc,,,Point pt-34
pt-35,scatter,,-37.797808,175.271840,1781536027,#9f5579cc,,,Point pt-35
pt-36,scatter,,-37.797069,175.274895,1781536759,#a25576cc,,,Point pt-36
pt-37,scatter,,-37.795574,175.277547,1781537492,#a55573cc,,,Point pt-37
pt-38,scatter,,-37.793451,175.279508,1781538224,#a9556fcc,,,Point pt-38
pt-39,scatter,,-37.790902,175.280550,1781538956,#ac556ccc,,,Point pt-39
pt-40,scatter,,-37.788177,175.280536,1781539688,#b05568cc,,,Point pt-40
pt-41,scatter,,-37.785553,175.279433,1781540420,#b35565cc,,,Point pt-41
pt-42,scatter,,-37.783306,175.277322,1781541153,#b65562cc,,,Point pt-42
pt-43,scatter,,-37.781680,175.274389,1781541885,#ba555ecc,,,Point pt-43
pt-44,scatter,,-37.780863,175.270914,1781542617,#bd555bcc,,,Point pt-44
pt-45,scatter,,-37.780964,175.267241,1781543349,#c15557cc,,,Point pt-45
pt-46,scatter,,-37.782000,175.263743,1781544081,#c45554cc,,,Point pt-46
pt-47,scatter,,-37.783890,175.260788,1781544814,#c75551cc,,,Point pt-47
pt-48,scatter,,-37.786465,175.258698,1781545546,#cb554dcc,,,Point pt-48
pt-49,scatter,,-37.789476,175.257712,1781546278,#ce554acc,,,Point pt-49
pt-50,scatter,,-37.792626,175.257965,1781547010,#d15547cc,,,Point pt-50
pt-51,scatter,,-37.795592,175.259464,1781547742,#d55543cc,,,Point pt-51
pt-52,scatter,,-37.798063,175.262087,1781548475,#d85540cc,,,Point pt-52
pt-53,scatter,,-37.799771,175.265596,1781549207,#dc553ccc,,,Point pt-53
pt-54,scatter,,-37.800518,175.269650,1781549939,#df5539cc,,,Point pt-54
pt-55,scatter,,-37.800204,175.273846,1781550671,#e25536cc,,,Point pt-55
pt-56,scatter,,-37.798832,175.277755,1781551403,#e65532cc,,,Point pt-56
pt-57,scatter,,-37.796518,175.280966,1781552136,#e9552fcc,,,Point pt-57
pt-58,scatter,,-37.793475,175.283131,1781552868,#ed552bcc,,,Point pt-58
pt-59,scatter,,-37.790000,175.284000,1781553600,#f05528cc,,,Point pt-59
path-0,path,@EBA_dlgmIn{lbgA__`n|J_yF_pR?_vJ_vJ?,,,1781510400,,,,Path path-0
path-1,path,@EBA_{wgmIn{lbgA__gjaR_yF_pR?_vJ_vJ?,,,1781519040,,,,Path path-1
path-2,path,@EBA_rchmIn{lbgA__nffY_yF_pR?_vJ_vJ?,,,1781527680,,,,Path path-2
path-3,path,@EBA_iohmIn{lbgA__ubk`@_yF_pR?_vJ_vJ?,,,1781536320,,,,Path path-3
path-4,path,@EBA_`{hmIn{lbgA__|~og@_yF_pR?_vJ_vJ?,,,1781544960,,,,Path path-4
path-5,path,@EBA_wfimIn{lbgA__c{tn@_yF_pR?_vJ_vJ?,,,1781553600,,,,Path path-5
prism-0,polygon,@EBB_nrimI~}_agA_oov}D_sN???_sN?~rN???~rN?,,,1781510400,,#1f9e89cc,300,Prism prism-0
prism-1,polygon,@EBB_|ijmI~}_agA_oqtx\_sN???_sN?~rN???~rN?,,,1781553600,,#cc4c33cc,600,Prism prism-1
