geometry_id,layer_type,point1_latitude,point1_longitude,scatter_radius,heatmap_weight,scatter_fill_color_hex,crash_severity,crash_severity_code,crash_year,fatal_count,serious_injury_count,minor_injury_count,pedestrian,bicycle,motorcycle,speed_limit,tooltip_html
crash_0,scatter,-37.728295,175.2648,25,2.0,#b5367aee,Minor Crash,2,2008,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2008</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_1,scatter,-37.786343,175.278551,25,2.0,#b5367aee,Minor Crash,2,2009,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_2,scatter,-37.756786,175.247588,25,2.0,#b5367aee,Minor Crash,2,2008,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2008</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_3,scatter,-37.760551,175.255205,25,2.0,#b5367aee,Minor Crash,2,2009,0,0,1,,0,1,50,<div><strong>Minor Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_4,scatter,-37.780774,175.29574,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_5,scatter,-37.797531,175.312055,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_6,scatter,-37.782775,175.289228,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_7,scatter,-37.710857,175.209277,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,100,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 100 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_8,scatter,-37.780569,175.249376,25,1.0,#51127cee,Non-Injury Crash,1,2008,0,0,0,,0,0,60,<div><strong>Non-Injury Crash</strong><br><span>Year: 2008</span><br><span>Speed limit: 60 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_9,scatter,-37.769818,175.261606,25,1.0,#51127cee,Non-Injury Crash,1,2008,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2008</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_10,scatter,-37.784818,175.266514,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_11,scatter,-37.79343,175.294576,25,1.0,#51127cee,Non-Injury Crash,1,2009,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_12,scatter,-37.744112,175.252459,25,2.0,#b5367aee,Minor Crash,2,2009,0,0,1,,0,0,80,<div><strong>Minor Crash</strong><br><span>Year: 2009</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
