geometry_id,layer_type,provider,route_id,route_short_name,route_long_name,shape_id,direction_id,trip_count,route_length_km,route_length_rank,point1_latitude,point1_longitude,point2_latitude,point2_longitude,line_width_m,line_color_value,line_color_hex,line_is_valid,tooltip_html
ferry_auckland_transport_bays_240_dir_0_shape_369_90011_4129fb28,line,Auckland Transport,BAYS-240,BAYS,BAYS,369-90011-4129fb28,0,22,2.431,47,-36.8222,174.76633,-36.84269,174.76704,284,2.431,#fee5e5cc,True,<div><strong>BAYS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BAYS</span><br><span>Route ID: BAYS-240</span><br><span>Direction: 0</span><br><span>Trip count: 22</span><br><span>Route length: 2.4 km</span></div>
ferry_auckland_transport_bays_240_dir_1_shape_369_90012_be9378d9,line,Auckland Transport,BAYS-240,BAYS,BAYS,369-90012-be9378d9,1,21,2.433,46,-36.84269,174.76704,-36.8222,174.76633,280,2.433,#fee5e5cc,True,<div><strong>BAYS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BAYS</span><br><span>Route ID: BAYS-240</span><br><span>Direction: 1</span><br><span>Trip count: 21</span><br><span>Route length: 2.4 km</span></div>
ferry_auckland_transport_birk_240_dir_0_shape_122_91013_20a698d9,line,Auckland Transport,BIRK-240,BIRK,BIRK,122-91013-20a698d9,0,13,4.092,42,-36.82281,174.73393,-36.84269,174.76704,243,4.092,#fed5d5cc,True,<div><strong>BIRK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BIRK</span><br><span>Route ID: BIRK-240</span><br><span>Direction: 0</span><br><span>Trip count: 13</span><br><span>Route length: 4.1 km</span></div>
ferry_auckland_transport_birk_240_dir_0_shape_122_91011_e1ac8b69,line,Auckland Transport,BIRK-240,BIRK,BIRK,122-91011-e1ac8b69,0,7,4.101,40,-36.82281,174.73393,-36.84269,174.76704,196,4.101,#fed5d5cc,True,<div><strong>BIRK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BIRK</span><br><span>Route ID: BIRK-240</span><br><span>Direction: 0</span><br><span>Trip count: 7</span><br><span>Route length: 4.1 km</span></div>
ferry_auckland_transport_birk_240_dir_1_shape_122_91012_e5c04a5e,line,Auckland Transport,BIRK-240,BIRK,BIRK,122-91012-e5c04a5e,1,13,4.101,41,-36.84269,174.76704,-36.82281,174.73393,243,4.101,#fed5d5cc,True,<div><strong>BIRK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BIRK</span><br><span>Route ID: BIRK-240</span><br><span>Direction: 1</span><br><span>Trip count: 13</span><br><span>Route length: 4.1 km</span></div>
ferry_auckland_transport_birk_240_dir_1_shape_122_91014_619b9075,line,Auckland Transport,BIRK-240,BIRK,BIRK,122-91014-619b9075,1,7,4.092,43,-36.84269,174.76704,-36.82281,174.73393,196,4.092,#fed5d5cc,True,<div><strong>BIRK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: BIRK</span><br><span>Route ID: BIRK-240</span><br><span>Direction: 1</span><br><span>Trip count: 7</span><br><span>Route length: 4.1 km</span></div>
ferry_auckland_transport_dev_209_dir_0_shape_512_92011_354a7c30,line,Auckland Transport,DEV-209,DEV,DEV,512-92011-354a7c30,0,56,3.095,44,-36.83317,174.7954,-36.84237,174.76714,360,3.095,#fedfdfcc,True,<div><strong>DEV</strong><br><span>Provider: Auckland Transport</span><br><span>Route: DEV</span><br><span>Route ID: DEV-209</span><br><span>Direction: 0</span><br><span>Trip count: 56</span><br><span>Route length: 3.1 km</span></div>
ferry_auckland_transport_dev_209_dir_1_shape_512_92012_e5cb4061,line,Auckland Transport,DEV-209,DEV,DEV,512-92012-e5cb4061,1,54,3.095,45,-36.84237,174.76714,-36.83317,174.7954,357,3.095,#fedfdfcc,True,<div><strong>DEV</strong><br><span>Provider: Auckland Transport</span><br><span>Route: DEV</span><br><span>Route ID: DEV-209</span><br><span>Direction: 1</span><br><span>Trip count: 54</span><br><span>Route length: 3.1 km</span></div>
ferry_auckland_transport_gulf_209_dir_0_shape_733_93011_10d88363,line,Auckland Transport,GULF-209,GULF,GULF,733-93011-10d88363,0,13,29.553,1,-36.62441,174.78799,-36.84021,174.76782,243,29.553,#7f1d1dcc,True,<div><strong>GULF</strong><br><span>Provider: Auckland Transport</span><br><span>Route: GULF</span><br><span>Route ID: GULF-209</span><br><span>Direction: 0</span><br><span>Trip count: 13</span><br><span>Route length: 29.6 km</span></div>
ferry_auckland_transport_gulf_209_dir_1_shape_733_93012_ac1c25b8,line,Auckland Transport,GULF-209,GULF,GULF,733-93012-ac1c25b8,1,11,29.525,2,-36.84021,174.76782,-36.62441,174.78799,230,29.525,#7f1d1dcc,True,<div><strong>GULF</strong><br><span>Provider: Auckland Transport</span><br><span>Route: GULF</span><br><span>Route ID: GULF-209</span><br><span>Direction: 1</span><br><span>Trip count: 11</span><br><span>Route length: 29.5 km</span></div>
ferry_auckland_transport_hcru_209_dir_0_shape_524_94041_aadf4683,line,Auckland Transport,HCRU-209,HCRU,HCRU,524-94041-aadf4683,0,1,19.597,17,-36.84224,174.76558,-36.8423,174.76565,80,19.597,#e94949cc,True,<div><strong>HCRU</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HCRU</span><br><span>Route ID: HCRU-209</span><br><span>Direction: 0</span><br><span>Trip count: 1</span><br><span>Route length: 19.6 km</span></div>
ferry_auckland_transport_hmb_209_dir_0_shape_901_95011_f28f8f02,line,Auckland Transport,HMB-209,HMB,HMB,901-95011-f28f8f02,0,22,15.304,20,-36.87993,174.89532,-36.84107,174.76748,284,15.304,#f87676cc,True,<div><strong>HMB</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HMB</span><br><span>Route ID: HMB-209</span><br><span>Direction: 0</span><br><span>Trip count: 22</span><br><span>Route length: 15.3 km</span></div>
ferry_auckland_transport_hmb_209_dir_1_shape_901_95012_3df7e7bb,line,Auckland Transport,HMB-209,HMB,HMB,901-95012-3df7e7bb,1,21,15.3,21,-36.84107,174.76748,-36.87993,174.89532,280,15.3,#f87676cc,True,<div><strong>HMB</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HMB</span><br><span>Route ID: HMB-209</span><br><span>Direction: 1</span><br><span>Trip count: 21</span><br><span>Route length: 15.3 km</span></div>
ferry_auckland_transport_hobs_209_dir_0_shape_514_96011_347e7239,line,Auckland Transport,HOBS-209,HOBS,HOBS,514-96011-347e7239,0,24,12.821,27,-36.78985,174.67827,-36.84045,174.76771,291,12.821,#fa8989cc,True,<div><strong>HOBS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HOBS</span><br><span>Route ID: HOBS-209</span><br><span>Direction: 0</span><br><span>Trip count: 24</span><br><span>Route length: 12.8 km</span></div>
ferry_auckland_transport_hobs_209_dir_0_shape_514_96021_12ac6176,line,Auckland Transport,HOBS-209,HOBS,HOBS,514-96021-12ac6176,0,1,13.413,26,-36.78759,174.67225,-36.84045,174.76771,80,13.413,#fa8585cc,True,<div><strong>HOBS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HOBS</span><br><span>Route ID: HOBS-209</span><br><span>Direction: 0</span><br><span>Trip count: 1</span><br><span>Route length: 13.4 km</span></div>
ferry_auckland_transport_hobs_209_dir_1_shape_514_96012_0e35da23,line,Auckland Transport,HOBS-209,HOBS,HOBS,514-96012-0e35da23,1,24,12.821,28,-36.84045,174.76771,-36.78985,174.67827,291,12.821,#fa8989cc,True,<div><strong>HOBS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: HOBS</span><br><span>Route ID: HOBS-209</span><br><span>Direction: 1</span><br><span>Trip count: 24</span><br><span>Route length: 12.8 km</span></div>
ferry_auckland_transport_kphm_495_dir_0_shape_522_99021_2f749177,line,Auckland Transport,KPHM-495,KPHM,KPHM,522-99021-2f749177,0,12,17.309,18,-36.80894,175.02675,-36.87979,174.89665,236,17.309,#f36262cc,True,<div><strong>KPHM</strong><br><span>Provider: Auckland Transport</span><br><span>Route: KPHM</span><br><span>Route ID: KPHM-495</span><br><span>Direction: 0</span><br><span>Trip count: 12</span><br><span>Route length: 17.3 km</span></div>
ferry_auckland_transport_kphm_495_dir_1_shape_522_99022_4c826c7b,line,Auckland Transport,KPHM-495,KPHM,KPHM,522-99022-4c826c7b,1,13,17.308,19,-36.87979,174.89665,-36.80894,175.02675,243,17.308,#f36262cc,True,<div><strong>KPHM</strong><br><span>Provider: Auckland Transport</span><br><span>Route: KPHM</span><br><span>Route ID: KPHM-495</span><br><span>Direction: 1</span><br><span>Trip count: 13</span><br><span>Route length: 17.3 km</span></div>
ferry_auckland_transport_kphs_495_dir_0_shape_523_99031_fb8e49e5,line,Auckland Transport,KPHS-495,KPHS,KPHS,523-99031-fb8e49e5,0,5,25.544,5,-36.80894,175.02675,-36.83816,174.75538,172,25.544,#b62222cc,True,<div><strong>KPHS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: KPHS</span><br><span>Route ID: KPHS-495</span><br><span>Direction: 0</span><br><span>Trip count: 5</span><br><span>Route length: 25.5 km</span></div>
ferry_auckland_transport_kphs_495_dir_1_shape_523_99032_bdef9460,line,Auckland Transport,KPHS-495,KPHS,KPHS,523-99032-bdef9460,1,5,25.543,6,-36.83816,174.75538,-36.80894,175.02675,172,25.543,#b62222cc,True,<div><strong>KPHS</strong><br><span>Provider: Auckland Transport</span><br><span>Route: KPHS</span><br><span>Route ID: KPHS-495</span><br><span>Direction: 1</span><br><span>Trip count: 5</span><br><span>Route length: 25.5 km</span></div>
ferry_auckland_transport_mtia_209_dir_0_shape_902_98011_00758ffa,line,Auckland Transport,MTIA-209,MTIA,MTIA,902-98011-00758ffa,0,21,21.742,15,-36.78076,174.99142,-36.8424,174.76642,280,21.742,#e03131cc,True,<div><strong>MTIA</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTIA</span><br><span>Route ID: MTIA-209</span><br><span>Direction: 0</span><br><span>Trip count: 21</span><br><span>Route length: 21.7 km</span></div>
ferry_auckland_transport_mtia_209_dir_0_shape_902_98013_3df4f740,line,Auckland Transport,MTIA-209,MTIA,MTIA,902-98013-3df4f740,0,5,22.746,11,-36.78076,174.99142,-36.8424,174.76642,172,22.746,#dc2626cc,True,<div><strong>MTIA</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTIA</span><br><span>Route ID: MTIA-209</span><br><span>Direction: 0</span><br><span>Trip count: 5</span><br><span>Route length: 22.7 km</span></div>
ferry_auckland_transport_mtia_209_dir_1_shape_902_98012_12d5975f,line,Auckland Transport,MTIA-209,MTIA,MTIA,902-98012-12d5975f,1,21,21.742,16,-36.8424,174.76642,-36.78076,174.99142,280,21.742,#e03131cc,True,<div><strong>MTIA</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTIA</span><br><span>Route ID: MTIA-209</span><br><span>Direction: 1</span><br><span>Trip count: 21</span><br><span>Route length: 21.7 km</span></div>
ferry_auckland_transport_mtia_209_dir_1_shape_902_98014_64edbdbd,line,Auckland Transport,MTIA-209,MTIA,MTIA,902-98014-64edbdbd,1,5,22.746,12,-36.8424,174.76642,-36.78076,174.99142,172,22.746,#dc2626cc,True,<div><strong>MTIA</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTIA</span><br><span>Route ID: MTIA-209</span><br><span>Direction: 1</span><br><span>Trip count: 5</span><br><span>Route length: 22.7 km</span></div>
ferry_auckland_transport_mtid_241_dir_0_shape_521_93021_35048c19,line,Auckland Transport,MTID-241,MTID,MTID,521-93021-35048c19,0,33,21.818,13,-36.78019,174.99148,-36.8423,174.76565,317,21.818,#e03131cc,True,<div><strong>MTID</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTID</span><br><span>Route ID: MTID-241</span><br><span>Direction: 0</span><br><span>Trip count: 33</span><br><span>Route length: 21.8 km</span></div>
ferry_auckland_transport_mtid_241_dir_1_shape_521_93022_d1c4e42e,line,Auckland Transport,MTID-241,MTID,MTID,521-93022-d1c4e42e,1,30,21.784,14,-36.8423,174.76565,-36.78019,174.99148,309,21.784,#e03131cc,True,<div><strong>MTID</strong><br><span>Provider: Auckland Transport</span><br><span>Route: MTID</span><br><span>Route ID: MTID-241</span><br><span>Direction: 1</span><br><span>Trip count: 30</span><br><span>Route length: 21.8 km</span></div>
ferry_auckland_transport_pine_210_dir_0_shape_515_99011_108e136c,line,Auckland Transport,PINE-210,PINE,PINE,515-99011-108e136c,0,28,22.803,9,-36.88994,174.98966,-36.84199,174.76724,304,22.803,#dc2626cc,True,<div><strong>PINE</strong><br><span>Provider: Auckland Transport</span><br><span>Route: PINE</span><br><span>Route ID: PINE-210</span><br><span>Direction: 0</span><br><span>Trip count: 28</span><br><span>Route length: 22.8 km</span></div>
ferry_auckland_transport_pine_210_dir_1_shape_515_99012_569153b3,line,Auckland Transport,PINE-210,PINE,PINE,515-99012-569153b3,1,28,22.801,10,-36.84199,174.76724,-36.88994,174.98966,304,22.801,#dc2626cc,True,<div><strong>PINE</strong><br><span>Provider: Auckland Transport</span><br><span>Route: PINE</span><br><span>Route ID: PINE-210</span><br><span>Direction: 1</span><br><span>Trip count: 28</span><br><span>Route length: 22.8 km</span></div>
ferry_auckland_transport_rak_211_dir_0_shape_123_99121_990e759a,line,Auckland Transport,RAK-211,RAK,RAK,123-99121-990e759a,0,3,24.217,7,-36.72629,174.95263,-36.84077,174.76763,138,24.217,#c82424cc,True,<div><strong>RAK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RAK</span><br><span>Route ID: RAK-211</span><br><span>Direction: 0</span><br><span>Trip count: 3</span><br><span>Route length: 24.2 km</span></div>
ferry_auckland_transport_rak_211_dir_0_shape_123_99119_05598dea,line,Auckland Transport,RAK-211,RAK,RAK,123-99119-05598dea,0,2,26.357,3,-36.72629,174.95263,-36.8222,174.76633,114,26.357,#ab2121cc,True,<div><strong>RAK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RAK</span><br><span>Route ID: RAK-211</span><br><span>Direction: 0</span><br><span>Trip count: 2</span><br><span>Route length: 26.4 km</span></div>
ferry_auckland_transport_rak_211_dir_1_shape_123_99122_b32e7128,line,Auckland Transport,RAK-211,RAK,RAK,123-99122-b32e7128,1,3,24.204,8,-36.84077,174.76763,-36.72629,174.95263,138,24.204,#c82424cc,True,<div><strong>RAK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RAK</span><br><span>Route ID: RAK-211</span><br><span>Direction: 1</span><br><span>Trip count: 3</span><br><span>Route length: 24.2 km</span></div>
ferry_auckland_transport_rak_211_dir_1_shape_123_99114_f91a3ca2,line,Auckland Transport,RAK-211,RAK,RAK,123-99114-f91a3ca2,1,2,26.344,4,-36.8222,174.76633,-36.72629,174.95263,114,26.344,#ab2121cc,True,<div><strong>RAK</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RAK</span><br><span>Route ID: RAK-211</span><br><span>Direction: 1</span><br><span>Trip count: 2</span><br><span>Route length: 26.3 km</span></div>
ferry_auckland_transport_rang_209_dir_0_shape_1415_94017_e734ddde,line,Auckland Transport,RANG-209,RANG,RANG,1415-94017-e734ddde,0,3,12.508,30,-36.80925,174.86232,-36.84224,174.76558,138,12.508,#fa8c8ccc,True,<div><strong>RANG</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RANG</span><br><span>Route ID: RANG-209</span><br><span>Direction: 0</span><br><span>Trip count: 3</span><br><span>Route length: 12.5 km</span></div>
ferry_auckland_transport_rang_209_dir_0_shape_1415_94015_b563e4ca,line,Auckland Transport,RANG-209,RANG,RANG,1415-94015-b563e4ca,0,1,11.507,33,-36.80925,174.86232,-36.84224,174.76558,80,11.507,#fb9393cc,True,<div><strong>RANG</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RANG</span><br><span>Route ID: RANG-209</span><br><span>Direction: 0</span><br><span>Trip count: 1</span><br><span>Route length: 11.5 km</span></div>
ferry_auckland_transport_rang_209_dir_1_shape_1415_94018_e919d60c,line,Auckland Transport,RANG-209,RANG,RANG,1415-94018-e919d60c,1,3,12.51,29,-36.84224,174.76558,-36.80925,174.86232,138,12.51,#fa8c8ccc,True,<div><strong>RANG</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RANG</span><br><span>Route ID: RANG-209</span><br><span>Direction: 1</span><br><span>Trip count: 3</span><br><span>Route length: 12.5 km</span></div>
ferry_auckland_transport_rang_209_dir_1_shape_1415_94016_dd041c70,line,Auckland Transport,RANG-209,RANG,RANG,1415-94016-dd041c70,1,1,11.507,34,-36.84224,174.76558,-36.80925,174.86232,80,11.507,#fb9393cc,True,<div><strong>RANG</strong><br><span>Provider: Auckland Transport</span><br><span>Route: RANG</span><br><span>Route ID: RANG-209</span><br><span>Direction: 1</span><br><span>Trip count: 1</span><br><span>Route length: 11.5 km</span></div>
ferry_auckland_transport_tiri_240_dir_1_shape_525_99334_7d408b27,line,Auckland Transport,TIRI-240,TIRI,TIRI,525-99334-7d408b27,1,2,10.522,39,-36.62441,174.78799,-36.60585,174.88794,114,10.522,#fb9b9bcc,True,<div><strong>TIRI</strong><br><span>Provider: Auckland Transport</span><br><span>Route: TIRI</span><br><span>Route ID: TIRI-240</span><br><span>Direction: 1</span><br><span>Trip count: 2</span><br><span>Route length: 10.5 km</span></div>
ferry_auckland_transport_wsth_211_dir_0_shape_518_99511_19c7439a,line,Auckland Transport,WSTH-211,WSTH,WSTH,518-99511-19c7439a,0,25,12.351,31,-36.81088,174.64554,-36.84077,174.76763,294,12.351,#fa8d8dcc,True,<div><strong>WSTH</strong><br><span>Provider: Auckland Transport</span><br><span>Route: WSTH</span><br><span>Route ID: WSTH-211</span><br><span>Direction: 0</span><br><span>Trip count: 25</span><br><span>Route length: 12.4 km</span></div>
ferry_auckland_transport_wsth_211_dir_1_shape_518_99512_283eb449,line,Auckland Transport,WSTH-211,WSTH,WSTH,518-99512-283eb449,1,26,12.35,32,-36.84077,174.76763,-36.81088,174.64554,298,12.35,#fa8d8dcc,True,<div><strong>WSTH</strong><br><span>Provider: Auckland Transport</span><br><span>Route: WSTH</span><br><span>Route ID: WSTH-211</span><br><span>Direction: 1</span><br><span>Trip count: 26</span><br><span>Route length: 12.3 km</span></div>
ferry_metlink_8_dir_0_shape_12_0_35033512_2_20260419,line,Metlink,8,QDF,Mātiu/Somes Island - Days Bay - Queens Wharf,[@12.0.35033512@]2_20260419,0,14,10.908,35,-41.2834015,174.7791615,-41.2806186,174.9054078,248,10.908,#fb9898cc,True,<div><strong>Mātiu/Somes Island - Days Bay - Queens Wharf</strong><br><span>Provider: Metlink</span><br><span>Route: QDF</span><br><span>Route ID: 8</span><br><span>Direction: 0</span><br><span>Trip count: 14</span><br><span>Route length: 10.9 km</span></div>
ferry_metlink_8_dir_0_shape_12_0_35033512_2_20260524,line,Metlink,8,QDF,Mātiu/Somes Island - Days Bay - Queens Wharf,[@12.0.35033512@]2_20260524,0,14,10.908,36,-41.2834015,174.7791615,-41.2806186,174.9054078,248,10.908,#fb9898cc,True,<div><strong>Mātiu/Somes Island - Days Bay - Queens Wharf</strong><br><span>Provider: Metlink</span><br><span>Route: QDF</span><br><span>Route ID: 8</span><br><span>Direction: 0</span><br><span>Trip count: 14</span><br><span>Route length: 10.9 km</span></div>
