geometry_id,layer_type,multi_layer,source_table,feature_label,territorial_authority_name,road_density_km_per_km2,latest_aadt,road_surface,road_length_total_km,road_length_rank,wkp,point1_latitude,point1_longitude,polygon_fill_color_value,polygon_line_color_hex,polygon_line_width_m,polygon_extrude_elevation_m,path_width_m,path_color_value,path_color_hex,point_radius_m,point_fill_color_value,point_line_color_value,point_fill_color_hex,point_line_color_hex,point_line_width_m,tooltip_html
sa2_175901,polygon,Road density area,hamilton_place_polygon,Rototuna West,Hamilton City,13.124993676550858,,,10.999927787879622,,@EABoifhmIl_l}fAa{@haFsvCrMeFTkrBbJmkCnLuE~AmUlAfFfi@_Wt@xAtTdVs@f@hJxBv@nXo@g@eWkDkb@nrAoGtJCqEltA_@~KyFxdBbx@c@x_@b@dl@xC|c@xFhk@bH~y@tKd}@pH`~AnJzi@pEnQbB|h@`HthBd[|Vqk@vFgPjIuU~CyHvWgo@||@wpBrKoUzSk_@rf@g|@zIwOpRoYpeAuaBpI{O~JiR}u@iCup@a@aKDaD@o_Al@wROsp@qB{mAqEesBeIwDMkhA_Egq@cDe@zC,,,13.124993676550858,#2f3437cc,50.0,984,,,,,,,,,,<div><strong>Rototuna West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.0 km</span><br><span>Road density: 13.12 km/km2</span><br><span>Area: 0.8 km2</span></div>
sa2_175302,polygon,Road density area,hamilton_place_polygon,Flagstaff North East,Hamilton City,12.329640398898114,,,11.110709092635501,,@EABalggmIvmb}fAo|@pg@}EcBokBko@sQgGyl@yDq[bvAgTvr@kNtd@ah@dvAq{@baB_KhRlc@dBzKxFfNhKdIlJdIbPlRr_@jh@fg@~KfNfRtQn]tUbd@xEhJ~D|PbPsWfHxO`UtEfKuHdQrJ|ApP`@tSy@lQmCrN_EfCwA|n@so@lOgIrUwHvJsB`ViCdHG~Ul@xHVlTa@bDWxOcIhJyIbBmEjD_R|OOjUyBlDmCvF_F|[u[~EcDdHeCdIcAnVcCnjAuHmIacA\sYw@mEmBwCaGmEgPeIu^sc@kOeb@wDmHqMkOsCkH_AyH~@oTrKl@vW`@zZk@`M{@nTqCxo@gLzJ_AaEqLq@uHH{ErE_QPwHaBiHyEsF{GsDkRuGaZsMeO}JmLwK{DkHsAuFmDe^e@qKqnEtLyu@nB}h@tZ,,,12.329640398898114,#2f3437cc,50.0,925,,,,,,,,,,<div><strong>Flagstaff North East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.1 km</span><br><span>Road density: 12.33 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_178500,polygon,Road density area,hamilton_place_polygon,Fairview Downs,Hamilton City,12.019492613430009,,,13.494248899594663,,@EABkehjmIpqk_gASl@y]cE}c@eHgDjLoAhJuB~F_g@lyAaAlCoMb`@es@buBafAuTg[qG_fBm^oh@uKqwBwc@kkBa`@uE~OyAfF{AhF{Njg@aAfD}a@`xA}x@mXYz@slB~mFb[`GbjClg@qKd[yL`^uCrIo\laAf~Cbj@zgAvRfaCfb@h|Cpi@rz@keCtd@ksAlAmDwPsChZm~@n`A_oCtj@c_Blh@azAndAs{CzTvDvb@jM]aIzDo\hEc`@bt@_iFlY}mB~Hy]sGoAsr@qNgB`GuRlp@qKl^ir@p_CggA~sD,,,12.019492613430009,#2f3437cc,50.0,901,,,,,,,,,,<div><strong>Fairview Downs</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 13.5 km</span><br><span>Road density: 12.02 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_176101,polygon,Road density area,hamilton_place_polygon,Te Manatu,Hamilton City,11.679169275139266,,,16.443623780585014,,@EABizrimItbk}fAqKxWgsCah@{o@oL_KpBuGrA~Spf@|^~hC~f@flDiJzJzBdMfl@jdDjThmAn@~\xh@lAlI[fr@iH~YuCtZgDxmD{_@bgBsR|f@qFlQmA|]WxBEzm@eAvbAwBjiAcCr_AiBpIUlt@oBb]mA`CkKfDmc@xDqRa@a\qS}tBu@}Hqk@}eAuRa^cLuS}s@srAsNuWoIwO_Ueb@}}@qcBms@apAEIsEdAoy@hQa~FhuA{qDnx@,,,11.679169275139266,#2f3437cc,50.0,876,,,,,,,,,,<div><strong>Te Manatu</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 16.4 km</span><br><span>Road density: 11.68 km/km2</span><br><span>Area: 1.4 km2</span></div>
sa2_178400,polygon,Road density area,hamilton_place_polygon,Enderley North,Hamilton City,11.279657870838243,,,7.842026588218251,,@EAB{j}imIv}b`gAfjAhUtSmmAfFqZhPiaAVaB|Jen@xK{q@zMsRxf@{ZvGmDyKqR}g@ud@eh@if@uMcJuUeIup@mMgj@eKwm@cLiK}CuOsHuKaKa`A_eA}O}PyIwFi|@{OlP{i@vKo^D}Cwb@kM{TwDodAr{Cmh@`zAuj@b_Bo`A~nCiZl~@vPrChg@jJ|DlA|yBv`@va@|GhaCbd@hbB|ZvpAzU,,,11.279657870838243,#2f3437cc,50.0,846,,,,,,,,,,<div><strong>Enderley North</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.8 km</span><br><span>Road density: 11.28 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_175902,polygon,Road density area,hamilton_place_polygon,Rototuna East,Hamilton City,11.095639921054053,,,8.33907198216155,,@EABq_zhmIdyt}fApS|tB`@`\yDpRgDlc@aCjKlmAoAfm@qAnQgAdu@oFj`@{A~@CxFydB^_LpEmtAuJBorAnGjDjb@f@dWoXn@yBw@g@iJeVr@yAuT~Vu@gFgi@lUmAtE_BlkCoLjrBcJdFUrvCsM`{@iaFd@{Cq_@iBeeB{Gms@yFgo@eIqUwDad@gJmb@_LeZeJys@{V_HiCm[uL{WeKqa@iN_]wHqd@sDsOOqp@UwcBtJez@dMghArW|}@pcB~Tdb@nIvOrNtW|s@rrAbLtStR`^pk@|eAt@|H,,,11.095639921054053,#2f3437cc,50.0,832,,,,,,,,,,<div><strong>Rototuna East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 8.3 km</span><br><span>Road density: 11.10 km/km2</span><br><span>Area: 0.8 km2</span></div>
sa2_176202,polygon,Road density area,hamilton_place_polygon,Rototuna South East,Hamilton City,10.955514534479576,,,9.684238271225746,,@EABew|hmIdw{}fAwC|[qYo@ud@b@o]nJB|BsStAaN~LmFt@aFhHwDzBoEv@}FNgGaC@\a[iFmM~AwLda@wLdRoZx@{@pEbRtMa@`@m@tEyAhC{Ap@oa@DeHbAuCfAwC|AwFrFUhD`DjIt@~GOtCeBxDiLxGeP|CkF?yBb@|Ll`@ndApEfFpt@}d@vfBfYnWvPl@`^`Z`BXjEOtKaEdHrAvAg@rAuAbBQhGH|DjAjNt@jO`G~AMzGsDrBAzBb@bBdDfBj@hMg@xBxAtARfFgA|BItH~CpKdHhGjHhCjEvCjHdAdFQlDmEfE@z@tElIeC`GLlCjR~R|@vHfAtB~BvArKxC`@x@qDbQDfBtCjF`DnJlDlFjBtGpVrCfKdG`MhDwDu[lB}V~Ki}@dPqnAdKv@jc@bGzXnCj]`G|Kz@tAXp@z@n\kLnIcEzNiHxK_OfIiPbK{LbHwS|LoSb^cTvXeItN_MhPoP|j@_`@dGsHzY}u@pV}NwqA{aAtBcDh^mq@nR_^jDkItE_h@vAmIfFgNv@oA}c@yFel@yCy_@c@cx@b@_ABk`@zAeu@nFoQfAgm@pAmmAnAc]lAmt@nBqIT,,,10.955514534479576,#2f3437cc,50.0,822,,,,,,,,,,<div><strong>Rototuna South East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.7 km</span><br><span>Road density: 10.96 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_178000,polygon,Road density area,hamilton_place_polygon,Maeroa,Hamilton City,10.888501947750152,,,13.936004945186664,,@EABcxghmI`oo`gA{XffAhQX~DUPUlAD|DnC`D`AxVwBtHHhKdAxAx@~@pBbFvSjRxTdEtCj@xANtFtP~FxCzCh@jDgArFEhIcAjH}@z@gAoAcAEsTdHaPzKeT`QaGdHeIbN}BzF[zFgCxDiAl@qADaJy@iF~BwG`@wBhDa@dCCZaAjEu@X{AeAy@aC}@AcBp@kEfE_DtFaAvC[tEtAvGCxBcA|A}GpERpFkCzFz@vIeExCwFjBK~@qAxAzAhDfC~AzBvCW~CsA`CCxAbFtDlAxBT~IjFdX]rI{a@dIihBje@qlAt[m_@xKq[n^uLbNy}A|gBsBtB`c@gEMw@jJw@LwFfP_RnC}CfAhHhOeB~AfKjl@_FlAzHhIjUnhA_IxlAoKb_A_IrO`_At[qCkDeUtkAyJiA_Hvh@eEpFk@eGc`@rmB{OzMoAh}AcMpnAwJwScoAw@s`@pGhC|ApAzFfJx@^vT|A~H}@tDChQhAxAMtF}CzAcJ|AeA~AWfH^fHbBvILtNiBrPKhGsBpJMbLeD`F}BhLoH~G{F`GuBlLe@`Ds@fF@nHi@hXqGpLiAzEgCzJeClHi@hIn@zHy@|BcAbKwInFgCjKqClQgHrHcEtDyD|GgDhBWhDt@rE[zCn@|BbBdGdJxe@i\ak@ii@qx@ap@qt@mk@aw@ml@yBmB_QuUqo@c{@a`A{mA{DkEi~@_b@kaAmc@{eAme@uRyXwn@o}@gC}BylAmq@{`@aUsF}CkOuCqGpGwJr\kn@zfCqa@p{A,,,10.888501947750152,#2f3437cc,50.0,817,,,,,,,,,,<div><strong>Maeroa</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 13.9 km</span><br><span>Road density: 10.89 km/km2</span><br><span>Area: 1.3 km2</span></div>
sa2_176400,polygon,Road density area,hamilton_place_polygon,Saint Andrews West,Hamilton City,10.850489929916169,,,10.915076820194598,,@EABuaigmIju{~fAwBvsAw`AiAiyCoDsJj@aAf@oe@fXWPo\dRcPjJ_a@bUeWpN_DdBcCdJwVj_Ak[tjArj@fP`OjFxs@|\`qAdm@gm@zu@}CzDsF~JuLh^_KjYuCdJuFzK{T|Z{PbSiZ|X{aAp{@oCxCyi@tf@y|A`yAnJrH~|AjhAzx@`n@bzCnzBll@s^jd@kg@suCiqAtHgVvIcYvfAamDhAqDdKm\pFzBzAoCtoAgnAluA}sA~CoCjwCcuCtT~LfhAyo@~Y_QjlB_hAiKsFdFgFnEQ~Akc@jWcA_@cBXaBpAoAuAyAUwWgQp@vDei@vR~B`w@}CnsAmF`JeaAmnAsQi`AaMq{@aOw`AmT}IwAyhEyaA]pTaA`YgBnp@,,,10.850489929916169,#2f3437cc,50.0,814,,,,,,,,,,<div><strong>Saint Andrews West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.9 km</span><br><span>Road density: 10.85 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_178701,polygon,Road density area,hamilton_place_polygon,Swarbrick,Hamilton City,10.834166410551004,,,7.90981861381483,,@EABu|vgmId_lagA_J|@aEEkDaAcC}BmFv@mWzD|AvFm[xEmEn@}AuFycCz^yMuIuUtU~fAn_@`o@hTp`A`\b_A|[gBlTqIhdAaF|m@uQ`_Crd@ZrPjm@lUvy@xc@d_BdbAgOnLtWdTcD]iAvEw@aB_G~E{CuCeKjy@_M`k@qI`c@sGrEo@lkBgYJYdAEvBkCzCa@hIOfN{DhDcHVkHfBmGVyFiV~BsAyH_G|@wOij@zs@{KfKiAF_Yc]e_@oCwF_F_WgnAklEkXiaAuL{b@e]cnAyIm[a[}gAi_@utAik@oiB}]~IxRfp@npAbtEyvFby@,,,10.834166410551004,#2f3437cc,50.0,813,,,,,,,,,,<div><strong>Swarbrick</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.9 km</span><br><span>Road density: 10.83 km/km2</span><br><span>Area: 0.7 km2</span></div>
