geometry_id,layer_type,site_ref,object_id,region,state_highway,reference_station,reference_position_km,description,lane,monitoring_type,site_type,equipment_current,accepted_days,percent_heavy,aadt_5_years_ago,aadt_4_years_ago,aadt_3_years_ago,aadt_2_years_ago,aadt_1_year_ago,latest_aadt,latest_aadt_rank,aadt_change_5yr_percent,latitude,longitude,point_radius_m,point_fill_color_value,point_line_color_value,point_fill_color_hex,point_line_color_hex,point_line_width_m,tooltip_html
nzta_tms_site_01c00552,point,01C00552,686,03 - Waikato,SH 1C,552,2.173,145m West of railway crossing Kahikatea Dr,Both,Non-Continuous,Regional Non-Continuous,Single Loop,28,6.8,,31073,27562,26052,31534,31534,1,,-37.8062527,175.2640877,564,31534,31534,#feb77fcc,#feb77fff,20,"<div><strong>145m West of railway crossing Kahikatea Dr</strong><br><span>Site ref: 01C00552</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 31,534</span><br><span>Heavy vehicles: 6.8%</span></div>"
nzta_tms_site_01c00555,point,01C00555,688,03 - Waikato,SH 1C,554,0.64,50m East of Cobham Dr Bridge,Both,Non-Continuous,Regional Non-Continuous,Single Loop,21,4.4,33341,29039,30465,29452,30234,30234,2,-9.3,-37.8048682,175.2954556,561,30234,30234,#feb47dcc,#feb47dff,20,"<div><strong>50m East of Cobham Dr Bridge</strong><br><span>Site ref: 01C00555</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 30,234</span><br><span>Heavy vehicles: 4.4%</span></div>"
nzta_tms_site_01c90552,point,01C90552,710,03 - Waikato,SH 1C,552,1.4,GREENWOOD - Telemetry Site 97,Ramp,National,Telemetry,Telemetry,337,5.4,25517,25753,25833,24136,23860,23860,3,-6.5,-37.801491,175.2602297,544,23860,23860,#fea572cc,#fea572ff,20,"<div><strong>GREENWOOD - Telemetry Site 97</strong><br><span>Site ref: 01C90552</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Telemetry</span><br><span>Latest AADT: 23,860</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c00549,point,01C00549,683,03 - Waikato,SH 1C,540,8.94,410m Nth of Rifle Range Rd / Avalon Drive RAB,Both,Non-Continuous,Regional Non-Continuous,Dual Loop,14,5.4,26298,35893,22144,34779,23420,23420,4,-10.9,-37.7795888,175.2499689,542,23420,23420,#fea471cc,#fea471ff,20,"<div><strong>410m Nth of Rifle Range Rd / Avalon Drive RAB</strong><br><span>Site ref: 01C00549</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 23,420</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c20554,point,01C20554,702,03 - Waikato,SH 1C,553,0.74,200m West of Cobham Drive intersection,Dec,Non-Continuous,Regional Non-Continuous,Single Loop,28,,14320,16187,17319,16855,20840,20840,5,45.5,-37.8056324,175.2872667,534,20840,20840,#fe9d6ccc,#fe9d6cff,20,"<div><strong>200m West of Cobham Drive intersection</strong><br><span>Site ref: 01C20554</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 20,840</span><br><span>Heavy vehicles: Not available</span></div>"
nzta_tms_site_01c00553,point,01C00553,687,03 - Waikato,SH 1C,553,0.218,200m east of Lorne Ohaupo intersection (SH1\3 Int),Both,Non-Continuous,Regional Non-Continuous,Single Loop,28,5.4,17743,15332,15261,14523,17897,17897,6,0.9,-37.8076198,175.2826851,522,17897,17897,#fc9469cc,#fc9469ff,20,"<div><strong>200m east of Lorne Ohaupo intersection (SH1\3 Int)</strong><br><span>Site ref: 01C00553</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 17,897</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c20548,point,01C20548,699,03 - Waikato,SH 1C,540,6.78,340m South Forman Rd,Dec,Non-Continuous,Regional Non-Continuous,Dual Loop,28,5.4,18121,19060,18403,19526,16933,16933,7,-6.6,-37.7648618,175.2356527,518,16933,16933,#fc9068cc,#fc9068ff,20,"<div><strong>340m South Forman Rd</strong><br><span>Site ref: 01C20548</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 16,933</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01n20549,point,01N20549,753,03 - Waikato,SH 1N,546,2.75,WexHam - Ruakura (NB),Dec,Non-Continuous,Regional Non-Continuous,Dual Loop,28,0.0,,,,14909,14711,14711,8,,-37.765962,175.3258002,508,14711,14711,#fb8865cc,#fb8865ff,20,"<div><strong>WexHam - Ruakura (NB)</strong><br><span>Site ref: 01N20549</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1N</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 14,711</span><br><span>Heavy vehicles: 0.0%</span></div>"
nzta_tms_site_02300000,point,02300000,775,03 - Waikato,SH 23,0,0.25,20m West of Hawk St,Both,Non-Continuous,Regional Non-Continuous,Single Loop,21,5.4,11976,13413,14399,14028,14432,14432,9,20.5,-37.7901854,175.2572395,506,14432,14432,#fa8664cc,#fa8664ff,20,"<div><strong>20m West of Hawk St</strong><br><span>Site ref: 02300000</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 23</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 14,432</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01n10549,point,01N10549,740,03 - Waikato,SH 1N,546,2.75,WexHam - Ruakura (SB),Inc,Non-Continuous,Regional Non-Continuous,Dual Loop,28,0.0,,,,14574,14397,14397,10,,-37.765962,175.3258002,506,14397,14397,#fa8664cc,#fa8664ff,20,"<div><strong>WexHam - Ruakura (SB)</strong><br><span>Site ref: 01N10549</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1N</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 14,397</span><br><span>Heavy vehicles: 0.0%</span></div>"
