geometry_id,layer_type,place_feature_id,place_name,place_type,territorial_authority_name,place_area_m2,place_area_km2,road_length_total_km,road_density_km_per_km2,place_road_density_rank,label_lon,label_lat,polygon_line_width_m,polygon_line_color_hex,polygon_fill_color_value,polygon_extrude_elevation_m,wkp,tooltip_html
sa2_175901,polygon,175901,Rototuna West,SA2,Hamilton City,838090.14,0.8380901399999999,10.999927787879622,13.124993676550858,1,175.26319660138,-37.72735559019685,50,#2f3437cc,13.124993676550858,984,@EABoifhmIl_l}fAa{@haFsvCrMeFTkrBbJmkCnLuE~AmUlAfFfi@_Wt@xAtTdVs@f@hJxBv@nXo@g@eWkDkb@nrAoGtJCqEltA_@~KyFxdBbx@c@x_@b@dl@xC|c@xFhk@bH~y@tKd}@pH`~AnJzi@pEnQbB|h@`HthBd[|Vqk@vFgPjIuU~CyHvWgo@||@wpBrKoUzSk_@rf@g|@zIwOpRoYpeAuaBpI{O~JiR}u@iCup@a@aKDaD@o_Al@wROsp@qB{mAqEesBeIwDMkhA_Egq@cDe@zC,<div><strong>Rototuna West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.0 km</span><br><span>Road density: 13.12 km/km2</span><br><span>Area: 0.8 km2</span></div>
sa2_175302,polygon,175302,Flagstaff North East,SA2,Hamilton City,901138.13,0.90113813,11.110709092635501,12.329640398898114,2,175.24809779339108,-37.72229901587305,50,#2f3437cc,12.329640398898114,925,@EABalggmIvmb}fAo|@pg@}EcBokBko@sQgGyl@yDq[bvAgTvr@kNtd@ah@dvAq{@baB_KhRlc@dBzKxFfNhKdIlJdIbPlRr_@jh@fg@~KfNfRtQn]tUbd@xEhJ~D|PbPsWfHxO`UtEfKuHdQrJ|ApP`@tSy@lQmCrN_EfCwA|n@so@lOgIrUwHvJsB`ViCdHG~Ul@xHVlTa@bDWxOcIhJyIbBmEjD_R|OOjUyBlDmCvF_F|[u[~EcDdHeCdIcAnVcCnjAuHmIacA\sYw@mEmBwCaGmEgPeIu^sc@kOeb@wDmHqMkOsCkH_AyH~@oTrKl@vW`@zZk@`M{@nTqCxo@gLzJ_AaEqLq@uHH{ErE_QPwHaBiHyEsF{GsDkRuGaZsMeO}JmLwK{DkHsAuFmDe^e@qKqnEtLyu@nB}h@tZ,<div><strong>Flagstaff North East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.1 km</span><br><span>Road density: 12.33 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_178500,polygon,178500,Fairview Downs,SA2,Hamilton City,1122697.05,1.1226970500000002,13.494248899594663,12.019492613430009,3,175.30542522713085,-37.758690365755,50,#2f3437cc,12.019492613430009,901,@EABkehjmIpqk_gASl@y]cE}c@eHgDjLoAhJuB~F_g@lyAaAlCoMb`@es@buBafAuTg[qG_fBm^oh@uKqwBwc@kkBa`@uE~OyAfF{AhF{Njg@aAfD}a@`xA}x@mXYz@slB~mFb[`GbjClg@qKd[yL`^uCrIo\laAf~Cbj@zgAvRfaCfb@h|Cpi@rz@keCtd@ksAlAmDwPsChZm~@n`A_oCtj@c_Blh@azAndAs{CzTvDvb@jM]aIzDo\hEc`@bt@_iFlY}mB~Hy]sGoAsr@qNgB`GuRlp@qKl^ir@p_CggA~sD,<div><strong>Fairview Downs</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 13.5 km</span><br><span>Road density: 12.02 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_176101,polygon,176101,Te Manatu,SA2,Hamilton City,1407944.64,1.40794464,16.443623780585014,11.679169275139266,4,175.28124504454377,-37.72641237424155,50,#2f3437cc,11.679169275139266,876,@EABizrimItbk}fAqKxWgsCah@{o@oL_KpBuGrA~Spf@|^~hC~f@flDiJzJzBdMfl@jdDjThmAn@~\xh@lAlI[fr@iH~YuCtZgDxmD{_@bgBsR|f@qFlQmA|]WxBEzm@eAvbAwBjiAcCr_AiBpIUlt@oBb]mA`CkKfDmc@xDqRa@a\qS}tBu@}Hqk@}eAuRa^cLuS}s@srAsNuWoIwO_Ueb@}}@qcBms@apAEIsEdAoy@hQa~FhuA{qDnx@,<div><strong>Te Manatu</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 16.4 km</span><br><span>Road density: 11.68 km/km2</span><br><span>Area: 1.4 km2</span></div>
sa2_178400,polygon,178400,Enderley North,SA2,Hamilton City,695236.21,0.6952362100000001,7.842026588218251,11.279657870838243,5,175.29373361667584,-37.76170658152985,50,#2f3437cc,11.279657870838243,846,@EAB{j}imIv}b`gAfjAhUtSmmAfFqZhPiaAVaB|Jen@xK{q@zMsRxf@{ZvGmDyKqR}g@ud@eh@if@uMcJuUeIup@mMgj@eKwm@cLiK}CuOsHuKaKa`A_eA}O}PyIwFi|@{OlP{i@vKo^D}Cwb@kM{TwDodAr{Cmh@`zAuj@b_Bo`A~nCiZl~@vPrChg@jJ|DlA|yBv`@va@|GhaCbd@hbB|ZvpAzU,<div><strong>Enderley North</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.8 km</span><br><span>Road density: 11.28 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_175902,polygon,175902,Rototuna East,SA2,Hamilton City,751562.96,0.75156296,8.33907198216155,11.095639921054053,6,175.2693592330436,-37.72518245955875,50,#2f3437cc,11.095639921054053,832,@EABq_zhmIdyt}fApS|tB`@`\yDpRgDlc@aCjKlmAoAfm@qAnQgAdu@oFj`@{A~@CxFydB^_LpEmtAuJBorAnGjDjb@f@dWoXn@yBw@g@iJeVr@yAuT~Vu@gFgi@lUmAtE_BlkCoLjrBcJdFUrvCsM`{@iaFd@{Cq_@iBeeB{Gms@yFgo@eIqUwDad@gJmb@_LeZeJys@{V_HiCm[uL{WeKqa@iN_]wHqd@sDsOOqp@UwcBtJez@dMghArW|}@pcB~Tdb@nIvOrNtW|s@rrAbLtStR`^pk@|eAt@|H,<div><strong>Rototuna East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 8.3 km</span><br><span>Road density: 11.10 km/km2</span><br><span>Area: 0.8 km2</span></div>
sa2_176202,polygon,176202,Rototuna South East,SA2,Hamilton City,883960.15,0.88396015,9.684238271225746,10.955514534479576,7,175.27382374174763,-37.7359218157943,50,#2f3437cc,10.955514534479576,822,@EABew|hmIdw{}fAwC|[qYo@ud@b@o]nJB|BsStAaN~LmFt@aFhHwDzBoEv@}FNgGaC@\a[iFmM~AwLda@wLdRoZx@{@pEbRtMa@`@m@tEyAhC{Ap@oa@DeHbAuCfAwC|AwFrFUhD`DjIt@~GOtCeBxDiLxGeP|CkF?yBb@|Ll`@ndApEfFpt@}d@vfBfYnWvPl@`^`Z`BXjEOtKaEdHrAvAg@rAuAbBQhGH|DjAjNt@jO`G~AMzGsDrBAzBb@bBdDfBj@hMg@xBxAtARfFgA|BItH~CpKdHhGjHhCjEvCjHdAdFQlDmEfE@z@tElIeC`GLlCjR~R|@vHfAtB~BvArKxC`@x@qDbQDfBtCjF`DnJlDlFjBtGpVrCfKdG`MhDwDu[lB}V~Ki}@dPqnAdKv@jc@bGzXnCj]`G|Kz@tAXp@z@n\kLnIcEzNiHxK_OfIiPbK{LbHwS|LoSb^cTvXeItN_MhPoP|j@_`@dGsHzY}u@pV}NwqA{aAtBcDh^mq@nR_^jDkItE_h@vAmIfFgNv@oA}c@yFel@yCy_@c@cx@b@_ABk`@zAeu@nFoQfAgm@pAmmAnAc]lAmt@nBqIT,<div><strong>Rototuna South East</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.7 km</span><br><span>Road density: 10.96 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_178000,polygon,178000,Maeroa,SA2,Hamilton City,1279882.67,1.27988267,13.936004945186664,10.888501947750152,8,175.2581539813809,-37.77731257381065,50,#2f3437cc,10.888501947750152,817,@EABcxghmI`oo`gA{XffAhQX~DUPUlAD|DnC`D`AxVwBtHHhKdAxAx@~@pBbFvSjRxTdEtCj@xANtFtP~FxCzCh@jDgArFEhIcAjH}@z@gAoAcAEsTdHaPzKeT`QaGdHeIbN}BzF[zFgCxDiAl@qADaJy@iF~BwG`@wBhDa@dCCZaAjEu@X{AeAy@aC}@AcBp@kEfE_DtFaAvC[tEtAvGCxBcA|A}GpERpFkCzFz@vIeExCwFjBK~@qAxAzAhDfC~AzBvCW~CsA`CCxAbFtDlAxBT~IjFdX]rI{a@dIihBje@qlAt[m_@xKq[n^uLbNy}A|gBsBtB`c@gEMw@jJw@LwFfP_RnC}CfAhHhOeB~AfKjl@_FlAzHhIjUnhA_IxlAoKb_A_IrO`_At[qCkDeUtkAyJiA_Hvh@eEpFk@eGc`@rmB{OzMoAh}AcMpnAwJwScoAw@s`@pGhC|ApAzFfJx@^vT|A~H}@tDChQhAxAMtF}CzAcJ|AeA~AWfH^fHbBvILtNiBrPKhGsBpJMbLeD`F}BhLoH~G{F`GuBlLe@`Ds@fF@nHi@hXqGpLiAzEgCzJeClHi@hIn@zHy@|BcAbKwInFgCjKqClQgHrHcEtDyD|GgDhBWhDt@rE[zCn@|BbBdGdJxe@i\ak@ii@qx@ap@qt@mk@aw@ml@yBmB_QuUqo@c{@a`A{mA{DkEi~@_b@kaAmc@{eAme@uRyXwn@o}@gC}BylAmq@{`@aUsF}CkOuCqGpGwJr\kn@zfCqa@p{A,<div><strong>Maeroa</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 13.9 km</span><br><span>Road density: 10.89 km/km2</span><br><span>Area: 1.3 km2</span></div>
sa2_176400,polygon,176400,Saint Andrews West,SA2,Hamilton City,1005952.44,1.00595244,10.915076820194598,10.850489929916169,9,175.25147366276337,-37.75525006565045,50,#2f3437cc,10.850489929916169,814,@EABuaigmIju{~fAwBvsAw`AiAiyCoDsJj@aAf@oe@fXWPo\dRcPjJ_a@bUeWpN_DdBcCdJwVj_Ak[tjArj@fP`OjFxs@|\`qAdm@gm@zu@}CzDsF~JuLh^_KjYuCdJuFzK{T|Z{PbSiZ|X{aAp{@oCxCyi@tf@y|A`yAnJrH~|AjhAzx@`n@bzCnzBll@s^jd@kg@suCiqAtHgVvIcYvfAamDhAqDdKm\pFzBzAoCtoAgnAluA}sA~CoCjwCcuCtT~LfhAyo@~Y_QjlB_hAiKsFdFgFnEQ~Akc@jWcA_@cBXaBpAoAuAyAUwWgQp@vDei@vR~B`w@}CnsAmF`JeaAmnAsQi`AaMq{@aOw`AmT}IwAyhEyaA]pTaA`YgBnp@,<div><strong>Saint Andrews West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.9 km</span><br><span>Road density: 10.85 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_178701,polygon,178701,Swarbrick,SA2,Hamilton City,730080.96,0.7300809599999998,7.90981861381483,10.834166410551004,10,175.25290440284036,-37.7906495489626,50,#2f3437cc,10.834166410551004,813,@EABu|vgmId_lagA_J|@aEEkDaAcC}BmFv@mWzD|AvFm[xEmEn@}AuFycCz^yMuIuUtU~fAn_@`o@hTp`A`\b_A|[gBlTqIhdAaF|m@uQ`_Crd@ZrPjm@lUvy@xc@d_BdbAgOnLtWdTcD]iAvEw@aB_G~E{CuCeKjy@_M`k@qI`c@sGrEo@lkBgYJYdAEvBkCzCa@hIOfN{DhDcHVkHfBmGVyFiV~BsAyH_G|@wOij@zs@{KfKiAF_Yc]e_@oCwF_F_WgnAklEkXiaAuL{b@e]cnAyIm[a[}gAi_@utAik@oiB}]~IxRfp@npAbtEyvFby@,<div><strong>Swarbrick</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.9 km</span><br><span>Road density: 10.83 km/km2</span><br><span>Area: 0.7 km2</span></div>
