geometry_id,layer_type,road_feature_id,road_surface,road_name,road_length_total_km,road_length_rank,path_width_m,path_color_value,path_color_hex,wkp,tooltip_html
road_8324993,path,8324993,sealed,WAIKATO EXPRESSWAY,19.575358367852445,1,127,#1464a5cc,#1464a5cc,@EAAgrudmIryhwfAuAlTu@|RGbBwQfrF{Bni@{Dl_A{IbfBwMnaDyC|s@kAb]WlXOjTDxTXd\t@f_@vNhmGjOb`HtOxaHrDlwAjHt~Dd@f^?l^Ifl@_Anu@sBrgAyDvbAsD`m@sGn|@yGvq@{K~aAm[ppCg\dwCyL~fAeOboAoLddAoF``@a@vCIb@cIlc@wDxPGX_CjKqPrl@wRjn@w[`{@aThf@mE`KuPj\kPzZiUda@qT`^}QxXgT`\u`@ti@o}@`fAstA~}Aou@bx@mV`Xez@d~@_g@vi@wz@`|@kr@fn@op@rj@g`@lZsFvDcu@~g@i{@bi@s@b@kc@tWoa@~T{c@vUik@fX_j@jWek@pUkm@|Uke@dQqf@lPks@`Uuo@fR}j@nOge@jLqc@nKwf@lKwm@rLwGjAei@nJck@`JqeAlNgt@jJym@fJgc@vHkg@fKge@vK_k@~Nya@zLwc@|Nke@xP{h@xTi`@pQq`@dRo]lRk^pSoYxQmBrAaXtQ}]vWsV~R{X`VqY|Xm_@~_@_YnY_gBrfBy|Ad{Amo@rn@sxBdyBg|@~u@om@pf@_k@pa@}\~TsZxRyOnJgn@v]o`@`Tmg@jVil@bWa~@d^yw@jYuMbEif@hOo_Bre@akJznCeqAf_@ehCrt@uhAzZm_ApV_z@~R_y@nQaQvDczDtv@}fDzo@wj@hLod@~Jk^nJq_@rKi]rKcYpJ}VxIa]xM_^jOiVfLkK~E{VhMsZbPc[hQwXjPiZbSyUxPmUhQk_@p\i[pYu[|[e[~]yYt_@kT|YeD~EuHdLgPbXy|AfmCa{B~zD{F|JkItNihAdnBg\jk@mvDvuGeSj]cbBdtC_h@h~@ct@trAoDrGiDlGezApnCeiAzsBgdAhoBeYrg@k[xh@ye@xr@w_@jh@_p@dw@qa@xc@wh@zh@yn@nk@,<div><strong>WAIKATO EXPRESSWAY</strong><br><span>Surface: sealed</span><br><span>Length: 19.58 km</span><br><span>Length rank: 1</span></div>
road_8324992,path,8324992,sealed,RIVER ROAD,12.152923828724996,2,111,#1464a5cc,#1464a5cc,@EAAufsgmIvlk~fAbFh@vELhH?pMO|Im@nL}@|JsAhMcCtBy@jHoCzM}FdLoIlKqI`IgL~d@q_AbO}XzAsCdB}EpHjBbCL~CFdDEnC_@lRgEhTeEtiCue@bJaBtWgGn@SjKaD`NgH~IaGdDgChN}NjN}NrKiJpGiDpH}DdJeDpLeEjE{ApP{Erc@kN~FkBlw@sWjC{@rc@oN`WgIxMiExc@iNzzAie@~QgHpJkEhHaEtC_B~LiHbIcF~LkJfL_Kr`BowAd^g[d[uXfZiUpHaGlGuFnb@g`@rY}Wbr@{n@ri@kf@xeA{dAtNyOdEaJ|CsHzBaHnAiLjAuPz@kSt@s^|Aw]pAyLzA{F|DoMtG_LvAeBxCuD\[pFeFzF_E|KuFvNqF|Y{HvQkDpl@sJ~OsDlHkBhDgAvDyAlEcBzE{B`HkEbGaE~EqEvD}D~DmFfD_GnD}HpDwJbPeg@zKs^zLq`@tCoItCyG~CcG`DwF|DwG`HaK|q@{|@zAcCzBkDzAyCrBkEpC_H|Ya{@vQii@pR}j@tRol@h[k`AJ[lY{aA~Rov@fSex@pZsmA`Ocl@rW{dAlE{NvCoIzBqG~B}FlD{H@C|LcV~FuJxFuIpJiMlHuI~L{Mrl@cm@vLqLfIeIjy@ap@rv@_j@xUsPnReNpOkLtGsFfI_HnIaIv\{\xIeJbYkVhFiEnCyBVUbLaIxAiArIeG~CqBxCkB|ByAzA}@bOoIhtAww@jJqGvEcD`L}HbKkHhYoT`v@gm@bj@oc@`LiJpLkJ~IsItf@kb@ht@ko@pMaMrJiJfYsWh\qZ|KuHvLaGvP{GdNaEzM{CvPmCjR_B~Ia@nKUdECnDCx[@zzA@jbA@vi@Grf@e@du@mBnc@oA|CIfQi@dK]pMs@pKaAj`@iE`wAiPvdAgL~OkBnG}@`HsAlJwBbGmBjIcD|EsBbFiCfCqAdl@qZvUyLzO}HvIyEvDwB|CsBvDoCpC}BdDwC~WmXxv@mx@tPiQtGsGzCiClDyC|HsFjIgGlLcIn^{V|P{LdPgLpPsLjo@md@|RmNdIuFvS_N|K_HdI_F|~@{h@hqAgu@bc@wVdFuCvXkPpt@eh@v\cV`IwEhF{CrPkIvMuFdPuE|RqEbNiBlNyAvLs@tK_@bGEzJA`SRtb@f@`PCxOKb]eBhKgAnHcAjFq@jEs@bF_AlEcAbFiA|EgA`EgAnEuAlEsApEsAzF}BzJaEvbB_t@vQqInHkD`GeDjDsBxCsBbD_ClDsCdDqCvCoC|CyCvIcJ`KsLfl@}p@rFkGNQhcAgjAtaBelB|CiDfCaClCmCrEaExFqE~WmRjeAot@pdB_mA~kAez@,<div><strong>RIVER ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 12.15 km</span><br><span>Length rank: 2</span></div>
road_3200519,path,3200519,sealed,TUHIKARAMEA ROAD,9.549813901011552,3,103,#1464a5cc,#1464a5cc,@EAAq|ggmIflyagAlCr\rKh`@tI`[h@dFi@pI_B|IwFdZyYdvAeCxLu@tG?nB?`Cp@lDn@nDnBdE|EnG|j@~c@`[tVna@v\zMhOh]lc@dPrRrMjMdbAfz@~S|Q`d@p_@fNvLf\lYvF~Etq@nl@dy@hs@ppB`eBt_BduA~z@dt@bl@rg@n`Ady@f{@lt@|{@rt@p[~WVRneAp~@fObLpRjL~UlLfv@~[v{@t^rd@zRlMxG~DlCvJxKtCjFlH`PbE`Q@DBHnHzUfBhOW~V}BnLeEbNeBxFcF~LmClG}AdEkBjG_@fDe@xDExCE|EZtFf@tDnA|FjAdDlBhEfAlBzF|J|Qp[bGfMDDdM|Sda@fq@dH|L|ClFhAnBpDvGDFlf@tx@bDrFvLzUnm@dfA`Ztm@rKtTrD`HlErE`GhHnG~F~EbDtRxKz_@dTlWlNPJhHzD`FnCrd@zV~k@d\dHpE|EtDlFzEzDlEvDvEjEfIbDrJdDvKtE`SnEnQlGtVzAdG`B`HNj@`@vA`@fBd@fBjEpQzFhUpBpIpAjFlDpNjCpK|EtSvGlWjEbRnEnTdDbVtBxVlBbWpCj_@fCp]~AbT`BdUbAlKhAdLvAbI~A~F|@`DhBlEtCrF|AfClDhFzDbFrDjExIzJhDdE|F`HdE~ErClDlCnDdCjDfC|D|ArCjC|Fb@dAjB~EzBpJz@fHx@xJp@bQVfO\vPR~OTbRR`MFlGL~Md@dWl@fP`AbIv@dG`C`JbHjNzEzG`IvIxEhEtJ|GfQfLb[jR~PhKxIvFxK|HzKbKpB|BvBnCnDvF|BhEvBzGbC|H~DxQbAdFxAvHfFdXtElVfDnQlAzHv@fEp@fG^hDHpGCvFc@jIq@zEgCzKqB|HeItWwNle@gHdWyAbHu@dFc@vH@~Hl@lN|@dH~BlKxD|JtEjIjEnFtHtHlMvKr\lXj\rWtNbKrGrD~EhClMdFhFtA~EnApGpAjXdD|d@vE|RhBlJ`AhHh@fJl@`Mb@jMHnHDdN[`r@kB~q@oBty@yBrx@_CtL_@`v@}Bry@sBn_@UjTr@xMnAtFr@nPfDzL|DdMpGxKlHvZbXhTlThTrS|Zr\xTxSxJnHtM`HrJdEdOdEpGxA`QrBlNz@bP`@ll@b@vONlPb@|Mr@xEXpe@tCnRT,<div><strong>TUHIKARAMEA ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 9.55 km</span><br><span>Length rank: 3</span></div>
road_3200521,path,3200521,sealed,WHATAWHATA ROAD,8.68039380384376,4,100,#1464a5cc,#1464a5cc,@EAAghpamIvu~agAoX]{Z_Ami@q@mk@Smx@Wof@Ka_@Gg_@UiTK_NI}LGsl@]{g@WeLGa`@Sma@S}^U}SMuKIg^O_d@Wy\Ii\Sgl@]s[KoBAmIA}^Ou\Uwa@[a\i@yHMqDK{EQ{La@oJe@uJi@aG[aLg@cOSoEAgAAgBDeADeAJeAHmCVeALiBZiDj@mATeCj@aE|@gEjAqF|AcF`B}G`CiDpA_Cx@gDhAuFfBuCp@wE`AwDj@wDh@}CR}CLeCB_CEyCGeCG{DK_BK}AUoB]aJqBqDgAsB}@oBcA_By@}CcBwBoAwBqAq@g@sAqA_C{CiCqDmCeE_FmJ{CmFiFmJaGiLkGoJ{FmKeI_OuGgL_A_By@}Am@eAy@wAcAcBgE_GkAqAiAkAeBkBoBmBgBeBcCsBqDaCeDcBwEaCqIaE_OcHuE{B_OgH_TwJ_VuK_HeC_Bm@qBo@kJqC{Cs@eDs@_Eu@qDs@kEs@mDi@iNsBmMmB_[sEe\yEwEk@sD]qCU}BMyDUkBGaFMiECmF@{DFyEJiYr@o@@U@iITa`@|@wh@jA_NZuMX{O^mSd@uQ`@k\v@sYp@yQ`@}GJeFDaKG{HUyGSqKe@yJe@iPw@gPu@cDQ_TeAsIa@oZwA}J]}GQgECiEDcEJaH\sD\kHbAcEv@mFjAmFfBeFlBwEzBkFjCyHpE}MxIaEfCuDpByCrAmEjBsCdAaFrA}D|@uEv@yGp@sIh@eLZiWZy^TiYZwVNe`@Vk]Va\Tk\Tga@\ub@^ce@\iH?kCAmC?aIKoGKqM_@oHSaHW{X_AoL_@_Nc@_MWmVUgTGsVKg]OiQKwVOm[_@{c@Wk^Yu]Sqe@_@ufAiA_h@s@{_@yAozAkEk[_AoSg@m{AkEcSq@e_@eAge@oAgn@eB}a@kA}AGeLc@{Lg@aBIuIc@uPoA{VaCki@yEmr@uGi]sC_J]wPs@kPO{g@[eCAkt@W}NL_Mh@wJj@{Gd@mSxBqZ`FgP|DiT`HcPjFoMtEqGhBuD|@oEfAkItBwIdB{NdC}\zFo[`G_NdCkU`FiTtFyPpEu\fKuW`HgBf@wv@bTweDd~@_q@|Qcp@lOweBjCmEFg]h@ogA`Bgg@t@{Tb@uf@bAu|@lAom@vAgt@Ja`@wDak@eJgi@uIcFy@cn@aKyp@wKwmAaS_k@kJgaAyOkj@kJenAySmMoBmKaBq{@}M}OyC,<div><strong>WHATAWHATA ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 8.68 km</span><br><span>Length rank: 4</span></div>
road_100047455,path,100047455,sealed,GORDONTON ROAD,8.64570288946305,5,100,#1464a5cc,#1464a5cc,@EAAcgpkmIb`~zfAj}@r~CzCbKxC~I`GpOb\|s@re@~cArx@`eB`DlF~BlDxCbEjBjCxBdCHJ~CzCpCdC~ChC`E|C`OdIxYhNlr@d[lqBd}@~IbEvyAzq@tNjHjE`C~EtDfH|EjHpFhItFtItGlt@tj@pk@vc@fb@~[zCzBdGlE|ShPbMvJvKxIhJtHvLrKxHlIpHxJtDhHvCfH|AhFj@zBfA|Dj@tETnDJnJ[tIm@vHy@rEgEdSyLle@wd@peBqa@~{AgOxh@kFtS_BxIk@|IUvJNpIbAlJjBtIjClI|DxHpB~CnBzCpG~GnHrGhIvFhJxEzD~A~D`B`Q`FbL`CtLrBlQxCjSjDtY|E~L~BtLxBpLrCxJrCfFdB~FxBnEnBhErBlEdC`DdC|ExCbGnEvDnChDtClGxEjb@l\`c@`]zGlFpI`HhVtRzVvSzC~Bz@p@fSdSjN~O`K`MxJdNvIxLhJ|L|F`IbJ|LnIxL`F~H`IdNnHtMpD|IlErL~FrPrB~HbCjK`GxXhQry@vOnu@rD`OxCrIbDlI~DrHnBbDlDpFrDvEnDdEnEnExCnCpCjCzCfCjMxJlRfOzMfKxH~F~CbCpC~BzC~BvCfCrChCvCrC|BdClC~CbCxChD~ExGfKfDtFpFdJtZph@lAdChcAfeBxEjIjZnh@lHvOpF~OvCdK~BnKzCtOxCzSbC|PtClTxExb@hRl}AvK~|@d@rDvAnKjTv`BvFdd@hLxz@hHnj@hH~j@lBrVVvEInN}@|IwBxMou@d~DkTvhA}Hha@{BdL_Rd_AeU`kAK`@_HpUsmAr`D_Unl@aZ`w@{h@ruAmz@|yB}CfIaOn`@mCfGqBzG]hCi@zDUjHNxGfA~HtDhPZvA,<div><strong>GORDONTON ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 8.65 km</span><br><span>Length rank: 5</span></div>
road_7741012,path,7741012,sealed,HORSHAM DOWNS ROAD,7.757397861850562,6,96,#1464a5cc,#1464a5cc,@EAAebjfmI`i`{fAyBrKeEhJmClEsCfEyC|DkJjJiMbLyJpIuRnQ{b@vb@qLbMyK`MkDjFgD~FgCzHgBbJwAxPgAbT[fFg@bD}@bEaB|D_CjEsBhDmC~CsDnDgG`EqV`Mwc@`UaUrLqDnB_n@n\_K~Fy`@`V_[xQib@tUyS~KkaBb}@gKnFgIpEiInE_FvBuDfBeEvAoE|@oEj@yF`@}Lb@aLf@}Kd@gMt@oGl@oEh@oEh@eEx@mGnB{GdCqE`DmDpDmAjCiAtCiBjIkC`QqA`HgAtD_BxCmCxDkCfCeDbCyO|I_^~Qub@xT}DdCsElDeG~F{BvBaC|C{CvDyBbE}JvP}NtX{NhXcMbTuKvQ{PjZsDfGuE~GeClDoFfGqFdFsElDmIrF_JrEsEzBiCjAcClAoHzBiFtAyKfCoUxEy_AnS_\hHkf@rKiOpDqRdFkw@|ToLxCeJfCkJbCkIdBwEr@iGp@yPtAeo@lEyp@hE_|@vGk|Bd]ee@pHwGhAwE`A_EfA{EdB{DfBoE~CqCfCoIlIee@pl@{Yba@k@lA{@zBc@hBQhBAlAL~AZfA`AbC~AtBlCxB~CvBlDjBp[hObK~E|DbCnE|CfCjCpB`DtA|Dv@pDVbDRnDRxGzAlk@jAjc@BvHi@tGg@fDaBbIuA~Es]dhAiKd\oBbG_FtMoBjFoB~D_DvEgDvDgFhDsGdD_HtBiJbCuOnDgz@|R{lGr{AwaAzUs}Btj@iFlAsWnGwRfE{D|@eF~@qFz@uFn@uIr@gFXcFXytCbJsH^gGf@wFp@kEt@wEdAaH`CkGrCuCdBuEtCcFzDcK`KaFpFcE`FkHlIy[~^}t@t{@{LnTgIfMc@|Ag@~CUnBQlCIjEHnCRjETpC^rC~CfTvDpUnAlJrAbItAdGf@pB|AvEdBbFhDpH~GrL`JbO|JfPvI|NvYng@pRf^lKbRxDlH~GxLn@fAz@`BtMjVv[tl@pIbR`GpMpHdN|OjZnOlY~HzNBF~Wpe@rGhLfLbTdFpJxDjHtFhKdEfKjBpF~@rE~@|GfAfLhAvLdNdsAVpIQrH}CjWoCdUuBfQ,<div><strong>HORSHAM DOWNS ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 7.76 km</span><br><span>Length rank: 6</span></div>
road_8114225,path,8114225,unmetalled,,6.757449030729476,7,92,#734a12cc,#734a12cc,@EAAoeqmmIdlpcgAtnDeaCbr@ie@hmAcu@tnAcw@`e@y^tZkXjXo]lQkYrNwXFMpLoXtJyYtGc`@bBuTp@wQ@kG@iKG{Ui@mUmBgUa@yEmDyWuKy`@oJ}UqLuV{O_WaQkVwBoCeN}PmL}LgQqPia@{^EEadB_zAq~@_y@w^c_@sWc]kNuSoR_\oNkZoFqOyAoFqC_KoIyZoHm_@cHkf@eCe^k@}^^mZrBo[~Cy[pF__@rGw[xMaf@rNa_@xQy_@jSc\jSmWdb@qd@jYmWrc@s]vr@sj@zv@qm@jf@m_@t_@}YxjBwzAjt@}m@hGiFdm@ok@h`@w^ra@cd@xXm\bX{_@`TyZth@ez@`V}a@pPk\~Ne[jW{l@xQ{f@hO{d@lI}YlCoJxIa[^yA|Ie]hIk^bIed@jHyd@dYkgBHk@rKoe@rUi|@~Wa~@jv@usBdO}\lN_Z~JqQrN_W|LwS,<div><strong>Road 8114225</strong><br><span>Surface: unmetalled</span><br><span>Length: 6.76 km</span><br><span>Length rank: 7</span></div>
road_100045270,path,100045270,sealed,PEACOCKES ROAD,6.602967400798212,8,91,#1464a5cc,#1464a5cc,@EAAqghjmIduvbgAwKuE}F{BaEkA_CSIAsBAmCVyBr@qBfAs[zV_SrP{CnBcD`BqBl@oB`@{Db@{Nx@mEVyCRiDd@cE|@oBl@oB~@_B~@mFpE{@t@}GzGgFtEqG`FiFvCyA|@cEbBuIpD[Lu@`@_HvD}CnCuKdK{[nZkXqN}TiM{d@uWek@y[oZaQsPqJu_@mTkVeNyd@}Wi~@ki@mIgFsM}GiFwBgGoByEm@qE[kKQqOjAuIfC}F|DqDzD}AvCiI|SoNva@oR~h@wCdIwCfIoG|KoNxN{DpDmHfG{VzOaM`FuSvGw]~HoTbE{JnAaIv@}P~Ao^fCye@tDic@pDmWnBsId@qCHoESiPi@u~ByRsPyAsJUoHLqDf@iDl@yCr@cFfB}DtBwE|DcCtC{ClFkAbDmBhGeCtJuJx_@cn@hgCc`@p`Buk@`eCeOpm@kEtQy@pDa@zBk@xC]lDQjD?rCP`DHp@\bCpAnEzCdHhFbKb[dk@vNjXve@~|@pTz`@xPtZxFpL|AtE`AzE^jFVzIVf_@Vdj@RjOv@nIp@bDbA`EtAxD|ChHnB~DvBjE~C`HlDtHvBbFzAdEnAdEf@xB\zAf@fDTzBX`ENzDBfFI`CQpCWbCi@rCi@tBw@pBcAbCeCtF_ElIgDdHkCdG_AfCm@jBsAzE_AfE}A~H}@fFwAnIm@hDm@pDo@jDs@hEcAlGu@pEo@nEc@lDWzCSlCEfD@jCFlCZzDXfDf@bEz@fGt@nFv@xFx@fGr@xEz@fG`AfHh@`Dj@dEf@dDf@bDr@fE`@tBb@jB|@lC`AbCrApBnBtBvBjBfBjAlAt@hB`ArDdBdI`DrG|B~]dMLD`rA|d@pe@~PtKjDd[`LhLfEzF~BrFvBhGvDnCrBtDlDxGlI|H`KlNfR|KvOjNzQpQ~UrGlInRvWxN~RjLlOzP~TzG`JdL|NnLpMbOnMvS~O|I|GzGdFhL~IdK|HpIrGpZtUxJ`IpDbD|BzB`DdFxCdI`AtEzJzr@tBdOhQxlAnInk@fDvThAjH,<div><strong>PEACOCKES ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 6.60 km</span><br><span>Length rank: 8</span></div>
road_3200526,path,3200526,sealed,MATANGI ROAD,6.169411599798473,9,89,#1464a5cc,#1464a5cc,@EAAulhpmIt{jbgApFmAxGeApGWrHEvGG`~EqCliA]``@OjLEr]W`l@o@b[w@vGQjSg@bm@oBtvAmExg@{AzO]tLc@~Hc@tJgAnGeAjJwBvjB_d@jrAo[rD_A~IyArGaAxGq@pFe@fHo@pt@aFrhAuHnMgA~kCgRdKu@tbAkH~z@cGlZ}AfJYhHKvNH~IXtFXlHn@`I~@~GhAxLjCrI~B~HnChG`C~KxFhJrFzf@d[hn@fa@f{@|i@vo@pa@`gA`r@h[vR~HxEvHbEtDlBtJ`E~DzAvHzBfGzAfFfA~JbBlGz@zGt@zHd@|Jb@tFFdMD`GKxLa@jYaBn{CeSdbAuGlbAwGbxAmJb}AaKzlA_Ijs@wEbcDqRvW}Ap[mBx|D{Wvx@sFb~@eG|l@{DtfAwGnM}@nHu@nDe@tGqAfDw@zHaCbEaBlFiCzDsBpEwCbCoBhEgEdDwDnEoGxDuG`Sq[xLuQvEeGpFaHzGoHhLyLzR}R~}@}_Ah_@u_@pCiClFyErF}DpD}BvDoBxEuBxFyB~IaD`}Aqi@rEuAjEgAjFkAjG}@nGu@jQcB@?h^iDpFi@`v@iHzOk@fIGzIf@~IdAjJ`B,<div><strong>MATANGI ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 6.17 km</span><br><span>Length rank: 9</span></div>
road_3200523,path,3200523,sealed,RIVER ROAD,6.088607654903631,10,89,#1464a5cc,#1464a5cc,@EAAalvimIlphagArIwOpLmW`GkKhB{BzG_G`I_Gxh@i`@rb@i\bPsMpHgG~FyExPcNbCoBxFeGfIkLtIePvAiCjCmFnoA}fCvg@}dAr_@}t@hBsB`FuDfWwGp_AgTvE{AlF}C|j@c_@vZiSfGmEv^eZ~IeGr@g@ps@wd@vLsGhmAqq@vN_IroCszArUiM`GeDzGcEhs@yq@h[eYtJyIrYeYlZuYzb@cc@|q@kp@zNeTzPmX|Xe_@vBaExBoDnFwIfFeLtEaKzFkPpBuGh@mD^aClBc|@@eKOcGwAoRyBaQ_Ls|@o@_FuBmVk@cPk@uZB{c@l@qQp@}KhAqGxDwVzM{w@vAkI~Gs`@v@iJXcVjAkeA?sC@eTaAqV}@aQcB_NIiBsAoYGgINsFf@qR|@}_@zG{iCBm@dFyjAnBkPvDgRrCkInIgUhFuLxM{XjCgDpE_ExHuDvGgC|UeJ|NcGhoBev@|PsH~HcEhO}Ij|@_m@lnAmz@hhBinAnKiG`MmHnUwKpTmKlIiGdIeIt@aAnD{E|AsB`c@_l@b[ic@,<div><strong>RIVER ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 6.09 km</span><br><span>Length rank: 10</span></div>
