geometry_id,layer_type,wkt,sa2_code,sa2_name,year,floor_index,building_category,consents_total,polygon_fill_color_hex,polygon_line_color_hex,polygon_line_width_m,polygon_extrude_elevation_m,base_elevation_m,valid_from,valid_to,timestamp,tooltip_html
tower_175901_2019,polygon,"POLYGON Z ((175.262402 -37.727984 0.0, 175.263992 -37.727984 0.0, 175.263992 -37.726727 0.0, 175.262402 -37.726727 0.0, 175.262402 -37.727984 0.0))",175901,Rototuna West,2019,0,Houses,41,#2c7fb8cc,#1a1a1aff,10,120.0,0.0,2019-01-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,1546300800,<div><strong>Rototuna West</strong><br><span>Year: 2019</span><br><span>Consents issued: 41</span><br><span>Dominant type: Houses</span></div>
tower_175901_2020,polygon,"POLYGON Z ((175.262402 -37.727984 120.0, 175.263992 -37.727984 120.0, 175.263992 -37.726727 120.0, 175.262402 -37.726727 120.0, 175.262402 -37.727984 120.0))",175901,Rototuna West,2020,1,Houses,54,#2c7fb8cc,#1a1a1aff,10,120.0,120.0,2020-01-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,1577836800,<div><strong>Rototuna West</strong><br><span>Year: 2020</span><br><span>Consents issued: 54</span><br><span>Dominant type: Houses</span></div>
tower_175901_2021,polygon,"POLYGON Z ((175.262402 -37.727984 240.0, 175.263992 -37.727984 240.0, 175.263992 -37.726727 240.0, 175.262402 -37.726727 240.0, 175.262402 -37.727984 240.0))",175901,Rototuna West,2021,2,Houses,66,#2c7fb8cc,#1a1a1aff,10,120.0,240.0,2021-01-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,1609459200,<div><strong>Rototuna West</strong><br><span>Year: 2021</span><br><span>Consents issued: 66</span><br><span>Dominant type: Houses</span></div>
tower_175901_2022,polygon,"POLYGON Z ((175.262402 -37.727984 360.0, 175.263992 -37.727984 360.0, 175.263992 -37.726727 360.0, 175.262402 -37.726727 360.0, 175.262402 -37.727984 360.0))",175901,Rototuna West,2022,3,Townhouses,74,#7fbc41cc,#1a1a1aff,10,120.0,360.0,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,1640995200,<div><strong>Rototuna West</strong><br><span>Year: 2022</span><br><span>Consents issued: 74</span><br><span>Dominant type: Townhouses</span></div>
tower_175901_2023,polygon,"POLYGON Z ((175.262402 -37.727984 480.0, 175.263992 -37.727984 480.0, 175.263992 -37.726727 480.0, 175.262402 -37.726727 480.0, 175.262402 -37.727984 480.0))",175901,Rototuna West,2023,4,Townhouses,83,#7fbc41cc,#1a1a1aff,10,120.0,480.0,2023-01-01T00:00:00.000Z,2023-12-31T00:00:00.000Z,1672531200,<div><strong>Rototuna West</strong><br><span>Year: 2023</span><br><span>Consents issued: 83</span><br><span>Dominant type: Townhouses</span></div>
tower_175302_2019,polygon,"POLYGON Z ((175.247303 -37.722928 0.0, 175.248893 -37.722928 0.0, 175.248893 -37.721670 0.0, 175.247303 -37.721670 0.0, 175.247303 -37.722928 0.0))",175302,Flagstaff North East,2019,0,Houses,19,#2c7fb8cc,#1a1a1aff,10,120.0,0.0,2019-01-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,1546300800,<div><strong>Flagstaff North East</strong><br><span>Year: 2019</span><br><span>Consents issued: 19</span><br><span>Dominant type: Houses</span></div>
tower_175302_2020,polygon,"POLYGON Z ((175.247303 -37.722928 120.0, 175.248893 -37.722928 120.0, 175.248893 -37.721670 120.0, 175.247303 -37.721670 120.0, 175.247303 -37.722928 120.0))",175302,Flagstaff North East,2020,1,Houses,18,#2c7fb8cc,#1a1a1aff,10,120.0,120.0,2020-01-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,1577836800,<div><strong>Flagstaff North East</strong><br><span>Year: 2020</span><br><span>Consents issued: 18</span><br><span>Dominant type: Houses</span></div>
tower_175302_2021,polygon,"POLYGON Z ((175.247303 -37.722928 240.0, 175.248893 -37.722928 240.0, 175.248893 -37.721670 240.0, 175.247303 -37.721670 240.0, 175.247303 -37.722928 240.0))",175302,Flagstaff North East,2021,2,Houses,16,#2c7fb8cc,#1a1a1aff,10,120.0,240.0,2021-01-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,1609459200,<div><strong>Flagstaff North East</strong><br><span>Year: 2021</span><br><span>Consents issued: 16</span><br><span>Dominant type: Houses</span></div>
tower_175302_2022,polygon,"POLYGON Z ((175.247303 -37.722928 360.0, 175.248893 -37.722928 360.0, 175.248893 -37.721670 360.0, 175.247303 -37.721670 360.0, 175.247303 -37.722928 360.0))",175302,Flagstaff North East,2022,3,Houses,17,#2c7fb8cc,#1a1a1aff,10,120.0,360.0,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,1640995200,<div><strong>Flagstaff North East</strong><br><span>Year: 2022</span><br><span>Consents issued: 17</span><br><span>Dominant type: Houses</span></div>
tower_175302_2023,polygon,"POLYGON Z ((175.247303 -37.722928 480.0, 175.248893 -37.722928 480.0, 175.248893 -37.721670 480.0, 175.247303 -37.721670 480.0, 175.247303 -37.722928 480.0))",175302,Flagstaff North East,2023,4,Houses,18,#2c7fb8cc,#1a1a1aff,10,120.0,480.0,2023-01-01T00:00:00.000Z,2023-12-31T00:00:00.000Z,1672531200,<div><strong>Flagstaff North East</strong><br><span>Year: 2023</span><br><span>Consents issued: 18</span><br><span>Dominant type: Houses</span></div>
