geometry_id,sa2_code,sa2_name,center_lat,center_lon,land_area_sq_km,area_sq_km,has_geometry
sa2_175201,175201,Te Rapa North,-37.730733787542825,175.21943573839124,8.380652739999999,8.380652739999999,True
sa2_175301,175301,Flagstaff North West,-37.72098999685513,175.23642993881762,0.94064252,0.94064252,True
sa2_175302,175302,Flagstaff North East,-37.72195960199068,175.24753794281298,0.90113813,0.90113813,True
sa2_175401,175401,Burbush-Baverstock,-37.75541545183194,175.2113992860238,7.100909470000001,7.100909470000001,True
sa2_175501,175501,Flagstaff South,-37.72965115507405,175.23987935415855,1.54738272,1.54738272,True
sa2_175601,175601,Rototuna North,-37.71693650743849,175.26425230716092,2.4362315800000003,2.4362315800000003,True
sa2_175700,175700,Pukete West,-37.7394204097837,175.23527032865633,0.8397192299999999,0.8397192299999999,True
sa2_175801,175801,Flagstaff East,-37.73414088659899,175.2537018138003,1.8204780100000004,1.8204780100000004,True
sa2_175901,175901,Rototuna West,-37.72718185885173,175.2620613631393,0.8380901399999999,0.8380901399999999,True
sa2_175902,175902,Rototuna East,-37.72445040470838,175.2706207927822,0.75156296,0.75156296,True
sa2_176000,176000,Pukete East,-37.74160975614579,175.2444182074411,1.09134429,1.09134429,True
sa2_176101,176101,Te Manatu,-37.72632025464198,175.28151309120796,1.40794464,1.40794464,True
sa2_176201,176201,Rototuna South West,-37.73791063095764,175.26700244562204,1.09371248,1.09371248,True
sa2_176202,176202,Rototuna South East,-37.7347319572715,175.27359102128187,0.88396015,0.88396015,True
sa2_176301,176301,Te Rapa South,-37.75883079239065,175.23971391369508,4.77884659,4.77884659,True
sa2_176400,176400,Saint Andrews West,-37.7531064590833,175.25025438907994,1.00595244,1.00595244,True
sa2_176500,176500,Saint Andrews East,-37.75171614583245,175.2581129222292,1.59418381,1.59418381,True
sa2_176600,176600,Queenwood (Hamilton City),-37.74645757410715,175.26616289693013,1.48944942,1.48944942,True
sa2_176700,176700,St James,-37.735722875932,175.28384916588405,0.7339269300000001,0.7339269300000001,True
sa2_176800,176800,Crawshaw,-37.77209971912111,175.23499752011205,0.86398333,0.86398333,True
sa2_176900,176900,Huntington,-37.74374420259362,175.28372421206367,1.26341779,1.26341779,True
sa2_177000,177000,Western Heights (Hamilton City),-37.78528581595473,175.22663966802807,1.07152117,1.07152117,True
sa2_177100,177100,Nawton West,-37.781306887219095,175.23140665409989,1.09006111,1.09006111,True
sa2_177200,177200,Nawton East,-37.77962010539774,175.24017006118234,1.3185093400000003,1.3185093400000003,True
sa2_177300,177300,Chartwell,-37.75401118297503,175.27716939667835,0.8967823300000001,0.8967823300000001,True
sa2_177400,177400,Forest Lake (Hamilton City),-37.77134225585809,175.25290896545297,1.22810027,1.22810027,True
sa2_177500,177500,Chedworth,-37.75074670186082,175.28494669501077,0.8765565699999999,0.8765565699999999,True
sa2_177600,177600,Beerescourt,-37.76630595808111,175.2623521694297,1.0201244500000002,1.0201244500000002,True
sa2_177700,177700,Miropiko,-37.76464732463744,175.27156156051234,2.07883686,2.07883686,True
sa2_177800,177800,Porritt,-37.75879233002632,175.28637996489437,1.2338954099999997,1.2338954099999997,True
sa2_177901,177901,Dinsdale North,-37.78870884195147,175.24426430908093,1.28602904,1.28602904,True
sa2_178000,178000,Maeroa,-37.77834857089125,175.26028849396485,1.27988267,1.27988267,True
