geometry_id,layer_type,origin_geometry_id,origin_sa2_code,origin_sa2_name,origin_sa2_reference_name,destination_geometry_id,destination_sa2_code,destination_sa2_name,destination_sa2_reference_name,point1_latitude,point1_longitude,point2_latitude,point2_longitude,people_count,people_count_rank,arc_line_width_m,arc_opacity,arc_count_band,arc_count_band_sort_order,arc_source_color_value,arc_target_color_value,arc_base_color_hex,arc_source_color_rgba,arc_target_color_rgba,count_2023_work_at_home,count_2023_drive_a_private_car_truck_or_van,count_2023_drive_a_company_car_truck_or_van,count_2023_passenger_in_a_car_truck_van_or_company_bus,count_2023_public_bus,count_2023_train,count_2023_bicycle,count_2023_walk_or_jog,count_2023_ferry,count_2023_other,count_2023_total_stated,origin_has_geometry,destination_has_geometry,has_origin_point,has_destination_point,has_both_points,is_same_sa2,arc_is_valid,tooltip_html
sa2_od_180100__179502,arc,sa2_180100,180100,Melville North,Melville North,sa2_179502,179502,Hamilton Lake South,Hamilton Lake South,-37.81016433379707,175.27963706366566,-37.803065450668925,175.2764442885721,465,1,450,0.865,Very high (200+),5,465,465,#fd602fff,"rgba(254, 163, 119, 0.623)","rgba(253, 96, 47, 0.865)",,105,,18,9,,,327,,,465,True,True,True,True,True,False,True,<div><span>Origin SA2: Melville North (180100)</span><br><span>Destination SA2: Hamilton Lake South (179502)</span><br><span>People count: 465</span></div>
sa2_od_178100__178901,arc,sa2_178100,178100,Dinsdale South,Dinsdale South,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.79839006688951,175.2393146050042,-37.79592696152542,175.26300437719928,285,2,404,0.785,Very high (200+),5,285,285,#feb852ff,"rgba(254, 211, 138, 0.565)","rgba(254, 184, 82, 0.785)",,180,66,18,,,9,,,,285,True,True,True,True,True,False,True,<div><span>Origin SA2: Dinsdale South (178100)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 285</span></div>
sa2_od_181101__179502,arc,sa2_181101,181101,Fitzroy (Hamilton City),Fitzroy (Hamilton City),sa2_179502,179502,Hamilton Lake South,Hamilton Lake South,-37.81785447884041,175.30086295024012,-37.803065450668925,175.2764442885721,282,3,403,0.783,Very high (200+),5,282,282,#feb953ff,"rgba(254, 212, 139, 0.564)","rgba(254, 185, 83, 0.783)",,237,,18,9,,9,,,6,282,True,True,True,True,True,False,True,<div><span>Origin SA2: Fitzroy (Hamilton City) (181101)</span><br><span>Destination SA2: Hamilton Lake South (179502)</span><br><span>People count: 282</span></div>
sa2_od_177200__176301,arc,sa2_177200,177200,Nawton East,Nawton East,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.77962010539774,175.24017006118234,-37.75883079239065,175.23971391369508,276,4,400,0.78,Very high (200+),5,276,276,#febb56ff,"rgba(254, 213, 140, 0.562)","rgba(254, 187, 86, 0.780)",,219,33,12,,,,,,,276,True,True,True,True,True,False,True,<div><span>Origin SA2: Nawton East (177200)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 276</span></div>
sa2_od_180200__179401,arc,sa2_180200,180200,Hamilton East,Hamilton East,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.80128047699723,175.3007634124884,-37.78937741033796,175.28276636339749,264,5,396,0.773,Very high (200+),5,264,264,#fec05bff,"rgba(254, 215, 143, 0.557)","rgba(254, 192, 91, 0.773)",,159,15,12,18,,27,30,,,264,True,True,True,True,True,False,True,<div><span>Origin SA2: Hamilton East (180200)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 264</span></div>
sa2_od_176400__176301,arc,sa2_176400,176400,Saint Andrews West,Saint Andrews West,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.7531064590833,175.25025438907994,-37.75883079239065,175.23971391369508,249,6,391,0.763,Very high (200+),5,249,249,#fec661ff,"rgba(254, 219, 146, 0.549)","rgba(254, 198, 97, 0.763)",,156,27,18,,,6,36,,,249,True,True,True,True,True,False,True,<div><span>Origin SA2: Saint Andrews West (176400)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 249</span></div>
sa2_od_177200__178901,arc,sa2_177200,177200,Nawton East,Nawton East,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.77962010539774,175.24017006118234,-37.79592696152542,175.26300437719928,246,7,390,0.761,Very high (200+),5,246,246,#fec763ff,"rgba(254, 219, 148, 0.548)","rgba(254, 199, 99, 0.761)",,189,30,12,,,,,,,246,True,True,True,True,True,False,True,<div><span>Origin SA2: Nawton East (177200)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 246</span></div>
sa2_od_175801__176301,arc,sa2_175801,175801,Flagstaff East,Flagstaff East,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.73414088659899,175.2537018138003,-37.75883079239065,175.23971391369508,237,8,386,0.755,Very high (200+),5,237,237,#fecb66ff,"rgba(254, 221, 149, 0.544)","rgba(254, 203, 102, 0.755)",,162,48,15,6,,,,,,237,True,True,True,True,True,False,True,<div><span>Origin SA2: Flagstaff East (175801)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 237</span></div>
sa2_od_177901__178901,arc,sa2_177901,177901,Dinsdale North,Dinsdale North,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.78870884195147,175.24426430908093,-37.79592696152542,175.26300437719928,237,9,386,0.755,Very high (200+),5,237,237,#fecb66ff,"rgba(254, 221, 149, 0.544)","rgba(254, 203, 102, 0.755)",,171,45,9,,,,6,,,237,True,True,True,True,True,False,True,<div><span>Origin SA2: Dinsdale North (177901)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 237</span></div>
sa2_od_177901__176301,arc,sa2_177901,177901,Dinsdale North,Dinsdale North,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.78870884195147,175.24426430908093,-37.75883079239065,175.23971391369508,231,10,384,0.751,Very high (200+),5,231,231,#fecd69ff,"rgba(254, 223, 151, 0.541)","rgba(254, 205, 105, 0.751)",,165,36,12,6,,,,,,231,True,True,True,True,True,False,True,<div><span>Origin SA2: Dinsdale North (177901)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 231</span></div>
